diseases,#60-80,FPR_60-80,Gap_60-80,#40-60,FPR_40-60,Gap_40-60,#20-40,FPR_20-40,Gap_20-40,#80-,FPR_80-,Gap_80-,#0-20,FPR_0-20,Gap_0-20
Enlarged Cardiomediastinum,2417,0.29,0.07847740497331931,2496,0.211,0.0,1243,0.183,-0.028515133465354697,783,0.455,0.24352373759701348,87,0.172,-0.038724027409372225
Cardiomegaly,3189,0.368,0.09281580758532781,3080,0.275,0.0,1499,0.221,-0.054510799407397115,1089,0.498,0.22237964056145876,98,0.112,-0.16307977736549162
Lung Opacity,2141,0.351,0.11026433879826653,2243,0.237,-0.0037698155160640345,1084,0.215,-0.025561679667429588,848,0.528,0.28779555767852877,79,0.241,0.0
Lung Lesion,6444,0.092,0.011240078301121323,5157,0.08,0.0,2008,0.092,0.011160322835089734,3012,0.079,-0.0014558790241400166,143,0.056,-0.02452908735631249
Edema,4170,0.252,0.051798561151079114,3771,0.18,-0.019676478387695595,1661,0.157,-0.04346779048765806,1643,0.308,0.10797321972002433,115,0.2,0.0
Consolidation,3689,0.277,0.09430850127744048,3398,0.182,0.0,1498,0.166,-0.016906198651370358,1628,0.313,0.13019329190606413,111,0.153,-0.029307117594345372
Pneumonia,5684,0.176,0.030359383821707525,4597,0.127,-0.018316151442318185,1841,0.146,0.0,2581,0.198,0.05202477217774734,138,0.109,-0.03687740594667359
Atelectasis,3068,0.368,0.11409237230446173,2938,0.254,0.0,1416,0.218,-0.035353520785499165,1307,0.452,0.19860670641354639,96,0.24,-0.013990526435216671
Pneumothorax,6656,0.065,0.0,5309,0.06,-0.004140001285915074,2078,0.087,0.02201838629969645,3157,0.041,-0.0234250315233547,137,0.095,0.030287145564289714
Pleural Effusion,3777,0.247,0.08189709625686381,3458,0.165,0.0,1644,0.151,-0.014272767826359833,1613,0.293,0.128118056120797,107,0.112,-0.052974816624595286
Pleural Other,6603,0.094,0.013520233377956117,5228,0.081,0.0,2180,0.064,-0.01676645865944139,2923,0.109,0.028948638623418052,151,0.02,-0.06066037688047547
Fracture,5357,0.179,0.026863941942561392,4462,0.137,-0.014622596906602503,1825,0.152,0.0,2257,0.248,0.0963361475106366,127,0.087,-0.06516664868946177
Support Devices,2935,0.23,0.00998469667658014,2307,0.2,-0.020512368399785458,1009,0.197,-0.023114007827854388,1636,0.233,0.013157349467489948,59,0.22,0.0
No Finding,6526,0.059,-0.004851976708550414,4770,0.07,0.006440251572327041,1797,0.085,0.02114190317195326,3033,0.056,-0.008279591163864161,125,0.064,0.0
