diseases,#60-80,FPR_60-80,Gap_60-80,#40-60,FPR_40-60,Gap_40-60,#20-40,FPR_20-40,Gap_20-40,#80-,FPR_80-,Gap_80-,#0-20,FPR_0-20,Gap_0-20
Enlarged Cardiomediastinum,2417,0.302,0.08849873492250407,2496,0.214,0.0,1243,0.185,-0.028906104956989892,783,0.439,0.225393579919442,87,0.172,-0.041528514588859394
Cardiomegaly,3189,0.337,0.0851482164746511,3080,0.252,0.0,1499,0.2,-0.051814629666530915,1089,0.429,0.1768857405221042,98,0.122,-0.1294990723562152
Lung Opacity,2141,0.332,0.10377263670708708,2243,0.222,-0.005378194890432675,1084,0.202,-0.025818580970619814,848,0.492,0.26389718175304516,79,0.228,0.0
Lung Lesion,6444,0.101,0.009614582554709497,5157,0.092,0.0,2008,0.109,0.017343752776367863,3012,0.087,-0.00473460047728419,143,0.077,-0.014796915320475529
Edema,4170,0.234,0.025596913773329177,3771,0.171,-0.03738830664222381,1661,0.144,-0.06420438185482813,1643,0.295,0.08588742755828419,115,0.209,0.0
Consolidation,3689,0.275,0.0877023159222868,3398,0.187,0.0,1498,0.17,-0.01694195360343123,1628,0.294,0.10644287071597255,111,0.171,-0.0159977517246499
Pneumonia,5684,0.193,0.036561169636334934,4597,0.145,-0.011559625417563835,1841,0.156,0.0,2581,0.213,0.05665898016697882,138,0.13,-0.0260019365656661
Atelectasis,3068,0.339,0.09972566275532377,2938,0.237,-0.0023471182210120234,1416,0.213,-0.026306497175141247,1307,0.395,0.15521391226727874,96,0.24,0.0
Pneumothorax,6656,0.052,0.0,5309,0.044,-0.008171673283393945,2078,0.06,0.008471301917524252,3157,0.034,-0.01747299956141419,137,0.088,0.03590854856822011
Pleural Effusion,3777,0.278,0.09318509201457237,3458,0.185,0.0,1644,0.176,-0.00867905305093164,1613,0.304,0.11932365608092432,107,0.159,-0.026199575142024728
Pleural Other,6603,0.084,0.01225176912351518,5228,0.071,0.0,2180,0.056,-0.014924576907688308,2923,0.091,0.019997913809715884,151,0.026,-0.044856529031146605
Fracture,5357,0.151,0.027729689230068966,4462,0.118,-0.00540331444219988,1825,0.123,0.0,2257,0.215,0.09159934693282998,127,0.094,-0.028799482256498754
Support Devices,2935,0.189,0.003618748516138165,2307,0.155,-0.030639183605122272,1009,0.147,-0.039139189834278776,1636,0.186,0.0,59,0.186,0.0006216070614562252
No Finding,6526,0.068,-0.012636825701547935,4770,0.081,0.0,1797,0.093,0.012357073109270172,3033,0.073,-0.007937218894052217,125,0.096,0.014867924528301893
