diseases,#60-80,FPR_60-80,Gap_60-80,#40-60,FPR_40-60,Gap_40-60,#20-40,FPR_20-40,Gap_20-40,#80-,FPR_80-,Gap_80-,#0-20,FPR_0-20,Gap_0-20
Enlarged Cardiomediastinum,2417,0.321,0.08628352322756544,2496,0.235,0.0,1243,0.193,-0.041694385997483346,783,0.473,0.23776586599862465,87,0.184,-0.05086759504862953
Cardiomegaly,3189,0.384,0.09615704145337256,3080,0.288,0.0,1499,0.227,-0.060177347669008785,1089,0.508,0.22014298832480644,98,0.122,-0.16521335807050094
Lung Opacity,2141,0.338,0.11390650616178247,2243,0.224,0.0,1084,0.206,-0.018533675082626905,848,0.517,0.2922562016840653,79,0.215,-0.009063358860477322
Lung Lesion,6444,0.102,0.010351770062495741,5157,0.092,0.0,2008,0.105,0.012667769874544876,3012,0.088,-0.004264501041789784,143,0.056,-0.03596984748817209
Edema,4170,0.26,0.060431654676258995,3771,0.194,-0.0058870326173428855,1661,0.168,-0.032028898254063826,1643,0.329,0.12927571515520386,115,0.2,0.0
Consolidation,3689,0.27,0.08578906699857408,3398,0.184,0.0,1498,0.164,-0.02038032267469045,1628,0.29,0.10599456538244062,111,0.171,-0.012760553372678146
Pneumonia,5684,0.174,0.033488706876483365,4597,0.131,-0.009729440013366314,1841,0.141,0.0,2581,0.2,0.05962554673447229,138,0.101,-0.039235135284068995
Atelectasis,3068,0.362,0.11774122832319922,2938,0.244,0.0,1416,0.222,-0.022632522220042833,1307,0.418,0.17336663918378442,96,0.229,-0.015217267982754717
Pneumothorax,6656,0.063,0.0,5309,0.057,-0.005801588059825842,2078,0.083,0.019520694130821054,3157,0.043,-0.020489085990229285,137,0.109,0.04623784917181359
Pleural Effusion,3777,0.252,0.08114385370770974,3458,0.171,0.0,1644,0.161,-0.010324097723252545,1613,0.286,0.11551477530203016,107,0.121,-0.04941271222628822
Pleural Other,6603,0.085,0.014037172827588401,5228,0.071,0.0,2180,0.057,-0.01343331250921291,2923,0.098,0.02741403233882872,151,0.026,-0.04428269582533176
Fracture,5357,0.167,0.034456312442304404,4462,0.131,-0.0011717824183516135,1825,0.132,0.0,2257,0.246,0.11428991084055087,127,0.079,-0.05331463704023298
Support Devices,2935,0.202,0.01534344372571153,2307,0.171,-0.01582353271588649,1009,0.16,-0.02747764011427714,1636,0.187,0.0,59,0.22,0.03329741825867141
No Finding,6526,0.061,-0.019556735162237687,4770,0.08,0.0,1797,0.092,0.012292325084084926,3033,0.061,-0.01875843706648253,125,0.096,0.015916142557651988
