diseases,#60-80,FNR_60-80,Gap_60-80,#40-60,FNR_40-60,Gap_40-60,#20-40,FNR_20-40,Gap_20-40,#80-,FNR_80-,Gap_80-,#0-20,FNR_0-20,Gap_0-20
Enlarged Cardiomediastinum,392,0.735,0.0033469387755101776,356,0.795,0.06359688144920883,125,0.728,-0.0033469387755102886,,,,9.0,0.444,-0.28690249433106585
Cardiomegaly,2647,0.289,-0.07276604712253387,2102,0.363,0.00036163777432257627,738,0.362,-0.00036163777432252076,,,,40.0,0.675,0.31284974433949864
Lung Opacity,2961,0.226,-0.09389425658652609,2641,0.288,-0.03206165579785614,898,0.352,0.03206165579785619,,,,56.0,0.411,0.0908828457437677
Lung Lesion,450,0.751,-0.004051324051324023,407,0.759,0.004051324051324134,124,0.879,0.12386982290208104,,,,13.0,0.615,-0.13977781977781967
Edema,1558,0.44,-0.021394950791613188,1129,0.415,-0.04564932064872368,342,0.482,0.021394950791613188,,,,5.0,0.8,0.33893881044073604
Consolidation,581,0.594,0.005235226620768696,524,0.634,0.04501922630543975,185,0.535,-0.05343342481896707,,,,12.0,0.583,-0.005235226620768807
Pneumonia,972,0.753,0.12049591381232672,910,0.656,0.023453450103196327,394,0.609,-0.023453450103196216,,,,42.0,0.571,-0.06116193451218832
Atelectasis,2777,0.293,-0.049120339671449464,2149,0.334,-0.008133525997403912,665,0.35,0.008133525997403968,,,,34.0,0.647,0.3048164096771917
Pneumothorax,456,0.568,0.08382385245983492,502,0.516,0.03177765129956367,352,0.381,-0.10347678549869782,,,,42.0,0.452,-0.031777651299563614
Pleural Effusion,3390,0.177,-0.0972648301255507,2255,0.232,-0.04232693400483567,597,0.317,0.042326934004835726,,,,47.0,0.404,0.12999933858090756
Pleural Other,133,0.805,0.0,127,0.78,-0.024983719140370675,12,1.0,0.19548872180451127,,,,12.0,,
Fracture,261,0.828,-0.04454022988505746,367,0.812,-0.06013733596417048,123,0.959,0.08722315671432579,,,,66.0,0.917,0.04454022988505746
Support Devices,2998,0.196,-0.017179105008947343,2827,0.227,0.014139734363510126,1205,0.199,-0.014139734363510154,,,,552.0,0.258,0.04426589873091963
No Finding,3217,0.324,0.2050044698852145,5429,0.17,0.0504338643923036,4202,0.069,-0.0504338643923036,,,,,0.033,-0.08660194170538432
