diseases,#White,FNR_White,Gap_White,#Black,FNR_Black,Gap_Black,#Hisp,FNR_Hisp,Gap_Hisp,#Other,FNR_Other,Gap_Other,#Asian,FNR_Asian,Gap_Asian,#American,FNR_American,Gap_American
Enlarged Cardiomediastinum,552,0.792,0.0037878787878787845,98,0.806,0.018243661100804,51,0.784,-0.0035650623885917776,33,0.788,0.0,16,0.625,-0.16287878787878785,17.0,,
Cardiomegaly,3294,0.325,0.050258292697093476,1048,0.272,-0.002324589897677476,299,0.258,-0.016746071171133525,235,0.277,0.0023245898976774204,129,0.388,0.11332574444163257,11.0,0.118,-0.15662409595964424
Lung Opacity,3981,0.275,-0.04934373944060183,883,0.342,0.01761559713633798,339,0.307,-0.01761559713633798,217,0.29,-0.03407767725813832,168,0.351,0.026790218287176537,11.0,0.818,0.4937815602785186
Lung Lesion,481,0.823,0.005103005103005098,152,0.776,-0.04186602870813405,11,0.818,0.0,43,0.651,-0.16701902748414377,25,0.84,0.021818181818181737,2.0,,
Edema,2159,0.373,-0.00015269584514604473,455,0.374,0.00015269584514604473,200,0.395,0.02152632221877243,167,0.335,-0.03814433646386234,52,0.462,0.08806478375723398,21.0,0.273,-0.10074640505395488
Consolidation,822,0.713,0.0,159,0.692,-0.02107147775788465,71,0.732,0.019498989068229333,39,0.744,0.030694366460789824,34,0.676,-0.03642478889365963,22.0,,
Pneumonia,1237,0.658,-0.007547752287217491,309,0.673,0.007547752287217491,116,0.655,-0.010418992495730861,57,0.807,0.1414261375708148,55,0.582,-0.0837732244706525,1.0,1.0,0.3344085937111657
Atelectasis,3353,0.309,0.011159377066611353,729,0.376,0.07774144001456001,278,0.284,-0.013943236935238135,240,0.371,0.0727174345275916,115,0.287,-0.011159377066611298,6.0,0.19,-0.10763970832955128
Pneumothorax,647,0.561,-0.0744630140548036,107,0.636,0.0,56,0.643,0.00734312416555416,44,0.636,0.000849617672047609,27,0.444,-0.19106957424714432,13.0,,
Pleural Effusion,4327,0.184,-0.0777005455142255,708,0.282,0.020361942163331925,231,0.377,0.11449944308049387,262,0.26,-0.0025819488100583543,136,0.265,0.00258194881005841,,0.091,-0.17121484263379186
Pleural Other,204,0.716,-0.11764705882352944,12,0.833,0.0,2,1.0,0.16666666666666663,6,1.0,0.16666666666666663,4,0.75,-0.08333333333333337,,,
Fracture,412,0.806,-0.08357386512726317,37,0.973,0.08357386512726328,20,1.0,0.11060089215429025,55,0.691,-0.19849001693661883,2,0.5,-0.38939910784570975,,1.0,0.11060089215429025
Support Devices,4250,0.223,0.02546802202940257,997,0.223,0.02531249662967397,385,0.091,-0.10644641647327122,279,0.172,-0.025312496629673942,171,0.257,0.059954434138105694,,0.0,-0.19735550738236213
No Finding,5136,0.264,0.07227207663335194,2070,0.181,-0.011070286453017636,782,0.159,-0.033178840019371714,355,0.203,0.011070286453017608,267,0.142,-0.04942451757715596,,0.231,0.03902261581379768
