diseases,#White,FNR_White,Gap_White,#Black,FNR_Black,Gap_Black,#Hisp,FNR_Hisp,Gap_Hisp,#Other,FNR_Other,Gap_Other,#Asian,FNR_Asian,Gap_Asian,#American,FNR_American,Gap_American
Enlarged Cardiomediastinum,552,0.725,0.0,98,0.653,-0.07157645666962442,51,0.745,0.020460358056266004,33,0.818,0.09354413702239794,16,0.688,-0.03713768115942029,17.0,,
Cardiomegaly,3294,0.345,0.05525744460478449,1048,0.267,-0.022436442499689513,299,0.268,-0.02205348659067985,235,0.285,-0.004505632040050056,129,0.419,0.12899263614401724,11.0,0.294,0.004505632040050056
Lung Opacity,3981,0.295,-0.043108526563121696,883,0.362,0.02464279390786972,339,0.342,0.004424778761061954,217,0.295,-0.0428272365183584,168,0.333,-0.004424778761061954,11.0,0.636,0.2986055242692411
Lung Lesion,481,0.792,0.0,152,0.743,-0.048678739468213106,11,0.818,0.026082026082026144,43,0.651,-0.14093700140211762,25,0.8,0.007900207900207956,2.0,,
Edema,2159,0.374,0.002276695051127653,455,0.369,-0.002276695051127653,200,0.385,0.013492535718103105,167,0.347,-0.02420207506034,52,0.462,0.09003099725656466,21.0,0.273,-0.0987801915546242
Consolidation,822,0.619,-0.0034200982417481596,159,0.623,0.0,71,0.704,0.08158384267871377,39,0.718,0.09530720851475571,34,0.559,-0.06381798002219752,22.0,,
Pneumonia,1237,0.635,-0.010286287737295452,309,0.634,-0.010581918936066859,116,0.655,0.010286287737295452,57,0.807,0.1621314178038411,55,0.618,-0.026704307873989808,1.0,1.0,0.355113873944192
Atelectasis,3353,0.306,-0.005425185649273578,729,0.392,0.08119666722944158,278,0.317,0.005425185649273578,240,0.371,0.059711756392678894,115,0.296,-0.015469403027610962,6.0,0.286,-0.025407291226368756
Pneumothorax,647,0.607,-0.03543828659748294,107,0.664,0.020694259012015936,56,0.643,0.0,44,0.773,0.1298701298701298,27,0.593,-0.050264550264550345,13.0,,
Pleural Effusion,4327,0.197,-0.06866613096264104,708,0.292,0.02657247722481415,231,0.307,0.04155890322818928,262,0.26,-0.006258419398293635,136,0.272,0.006258419398293691,,0.136,-0.1294367677674817
Pleural Other,204,0.824,-0.009803921568627527,12,0.833,0.0,2,1.0,0.16666666666666663,6,1.0,0.16666666666666663,4,0.75,-0.08333333333333337,,,
Fracture,412,0.845,-0.0803398058252428,37,1.0,0.07499999999999996,20,0.85,-0.07500000000000007,55,0.8,-0.125,2,1.0,0.07499999999999996,,1.0,0.07499999999999996
Support Devices,4250,0.183,0.019844823951085833,997,0.188,0.024348688485866632,385,0.07,-0.09308412944845582,279,0.143,-0.019844823951085805,171,0.228,0.06485617586027054,,0.0,-0.16321399957832594
No Finding,5136,0.254,0.05617928836493877,2070,0.163,-0.034523452165107715,782,0.178,-0.019576023918446733,355,0.217,0.019576023918446733,267,0.131,-0.06623924221016012,,0.231,0.0334438462369733
