diseases,#60-80,FNR_60-80,Gap_60-80,#40-60,FNR_40-60,Gap_40-60,#20-40,FNR_20-40,Gap_20-40,#80-,FNR_80-,Gap_80-,#0-20,FNR_0-20,Gap_0-20
Enlarged Cardiomediastinum,392,0.702,-0.0012346938775510408,356,0.806,0.10341446915844987,125,0.704,0.0012346938775509297,,,,9.0,0.444,-0.2583208616780046
Cardiomegaly,2647,0.333,-0.04981989074228543,2102,0.387,0.00460072869044581,738,0.378,-0.00460072869044581,,,,40.0,0.7,0.31735049082174926
Lung Opacity,2961,0.304,-0.08055619131752573,2641,0.369,-0.016045585756222114,898,0.401,0.016045585756222114,,,,56.0,0.518,0.13301186001648307
Lung Lesion,450,0.738,-0.06244902244902251,407,0.754,-0.045927045927045995,124,0.871,0.07074094170868361,,,,13.0,0.846,0.045927045927045884
Edema,1558,0.392,-0.004528597917558108,1129,0.38,-0.016073912195930462,342,0.401,0.004528597917558164,,,,5.0,0.6,0.2039438025959207
Consolidation,581,0.645,0.031052782558806613,524,0.66,0.04591922761931044,185,0.492,-0.12249422400024806,,,,12.0,0.583,-0.031052782558806613
Pneumonia,972,0.677,0.10047512075148846,910,0.602,0.025718190439002586,394,0.551,-0.025718190439002586,,,,42.0,0.5,-0.07647961175879958
Atelectasis,2777,0.311,-0.05564086160431159,2149,0.351,-0.01554701084959953,665,0.382,0.015547010849599585,,,,34.0,0.647,0.2806509471609663
Pneumothorax,456,0.614,0.10786092075080855,502,0.578,0.07151507605939877,352,0.435,-0.07151507605939883,,,,42.0,0.381,-0.12522178601610878
Pleural Effusion,3390,0.212,-0.0873130179411207,2255,0.264,-0.034515890613451616,597,0.333,0.03451589061345156,,,,47.0,0.447,0.1479910679184161
Pleural Other,133,0.789,-0.045171985080812216,127,0.835,0.0,12,1.0,0.16535433070866146,,,,12.0,,
Fracture,261,0.851,0.005668827711484803,367,0.839,-0.005668827711484914,123,0.919,0.0737933020596766,,,,66.0,0.75,-0.09490588493219332
Support Devices,2998,0.181,-0.02100612638252386,2827,0.212,0.010092073030219861,1205,0.192,-0.010092073030219834,,,,552.0,0.288,0.08608547003529005
No Finding,3217,0.329,0.21509000943800397,5429,0.162,0.04898387991438788,4202,0.064,-0.048983879914387865,,,,,0.036,-0.077245094380929
