diseases,#White,FNR_White,Gap_White,#Black,FNR_Black,Gap_Black,#Hisp,FNR_Hisp,Gap_Hisp,#Other,FNR_Other,Gap_Other,#Asian,FNR_Asian,Gap_Asian,#American,FNR_American,Gap_American
Enlarged Cardiomediastinum,552,0.726,-0.018448683821354672,98,0.745,0.0,51,0.804,0.05902360944377749,33,0.818,0.07328385899814471,16,0.625,-0.11989795918367352,17.0,,
Cardiomegaly,3294,0.305,0.058739858934575256,1048,0.245,-0.0011313155811994158,299,0.247,0.0011313155811994158,235,0.23,-0.016573089172234018,129,0.38,0.13348463802552288,11.0,0.176,-0.06988973497949308
Lung Opacity,3981,0.225,-0.058434783140270286,883,0.294,0.011449261200586591,339,0.274,-0.008665191740413025,217,0.207,-0.0756282030368528,168,0.292,0.00866519174041297,11.0,0.455,0.17154397961920081
Lung Lesion,481,0.784,0.0,152,0.776,-0.0074679943100995905,11,0.818,0.03439803439803446,43,0.721,-0.06285355122564429,25,0.84,0.0562162162162162,2.0,,
Edema,2159,0.429,0.018376435977177086,455,0.422,0.010989010989011005,200,0.4,-0.01098901098901095,167,0.317,-0.09362374152793312,52,0.519,0.1082417582417583,21.0,0.273,-0.13826173826173827
Consolidation,822,0.566,-0.03808015424872602,159,0.604,0.0,71,0.662,0.058198246080255145,39,0.641,0.037252056119980725,34,0.559,-0.044950055493895635,22.0,,
Pneumonia,1237,0.692,-0.0002799339669782297,309,0.693,0.0002799339669782297,116,0.672,-0.01986290723378059,57,0.825,0.13228470317154306,55,0.6,-0.0922767003372289,1.0,1.0,0.3077232996627711
Atelectasis,3353,0.288,-0.0032827898134817346,729,0.362,0.07045867873197664,278,0.295,0.00328278981348179,240,0.358,0.06665209436983671,115,0.287,-0.004724717224366182,6.0,0.19,-0.10120504848730616
Pneumothorax,647,0.538,-0.12879958784131884,107,0.598,-0.06853582554517135,56,0.679,0.011904761904761973,44,0.705,0.037878787878787956,27,0.667,0.0,13.0,,
Pleural Effusion,4327,0.172,-0.0563409322256663,708,0.258,0.030421141156682596,231,0.325,0.09662188956082085,262,0.206,-0.021946564885496178,136,0.25,0.021946564885496178,,0.091,-0.1371443442054129
Pleural Other,204,0.779,-0.13725490196078427,12,0.917,0.0,2,1.0,0.08333333333333337,6,1.0,0.08333333333333337,4,0.75,-0.16666666666666663,,,
Fracture,412,0.837,-0.05631067961165048,37,0.973,0.07928365258462355,20,0.95,0.05631067961165048,55,0.764,-0.1300529567519858,2,0.5,-0.3936893203883495,,1.0,0.10631067961165053
Support Devices,4250,0.198,0.019970482816782625,997,0.204,0.02593425649074571,385,0.086,-0.09196229029246106,279,0.158,-0.019970482816782625,171,0.228,0.050393599431849706,,0.0,-0.17767657600674677
No Finding,5136,0.253,0.07057879922089766,2070,0.171,-0.012199768660270782,782,0.174,-0.008818126148193495,355,0.192,0.008818126148193522,267,0.127,-0.0553903456564169,,0.231,0.04803806114277642
