diseases,#60-80,FNR_60-80,Gap_60-80,#40-60,FNR_40-60,Gap_40-60,#20-40,FNR_20-40,Gap_20-40,#80-,FNR_80-,Gap_80-,#0-20,FNR_0-20,Gap_0-20
Enlarged Cardiomediastinum,326,0.825,-0.05745532141904508,230,0.883,0.0,71,0.831,-0.051622780159216175,132,0.932,0.04920948616600784,2.0,1.0,0.11739130434782608
Cardiomegaly,2113,0.315,-0.07385196912951214,1077,0.389,0.0,280,0.396,0.007384931688552865,955,0.253,-0.13564049837876202,16.0,0.438,0.04845636025998146
Lung Opacity,2196,0.262,0.0,1293,0.294,0.031595095913684035,383,0.282,0.019689252236442245,1024,0.224,-0.03866226946721313,8.0,0.25,-0.012295081967213128
Lung Lesion,338,0.621,-0.07591000430069261,152,0.704,0.006735588972431095,42,0.69,-0.006735588972431095,102,0.745,0.04788625976706473,2.0,,
Edema,1303,0.338,-0.054306283397947075,699,0.392,0.0,127,0.583,0.19068861027564682,655,0.322,-0.06985115049853119,3.0,0.5,0.10801144492131615
Consolidation,481,0.699,0.03677234927234929,272,0.625,-0.03677234927234929,80,0.487,-0.1742723492723493,177,0.763,0.10093951513443034,8.0,,
Pneumonia,673,0.673,0.05421298962785137,441,0.605,-0.013450331272574223,128,0.547,-0.07201750814332253,307,0.619,0.0,4.0,0.667,0.0477741585233441
Atelectasis,2081,0.269,-0.025129144641999057,1280,0.294,0.0,293,0.263,-0.030951365187713298,865,0.318,0.024169075144508667,7.0,0.375,0.08124999999999999
Pneumothorax,447,0.555,0.0,305,0.439,-0.11546558110536553,102,0.402,-0.15284905908672197,98,0.704,0.14927178925261375,29.0,0.75,0.19519015659955252
Pleural Effusion,2602,0.23,0.0,1249,0.221,-0.008846431488003625,370,0.251,0.02152813843820761,1174,0.163,-0.06713156044295635,46.0,0.429,0.19874821565828482
Pleural Other,115,0.739,-0.025783619817997927,44,0.818,0.05326776358121166,6,0.667,-0.09824738793393994,43,0.791,0.025783619817998038,,,
Fracture,165,0.685,-0.041296687808315746,133,0.669,-0.05697224032597348,35,0.857,0.13099768448605653,86,0.767,0.041296687808315746,,,
Support Devices,3007,0.101,-0.0019713080423771068,1937,0.103,0.0,696,0.093,-0.009345385386810984,945,0.138,0.03482994758162543,,0.103,0.000712085877556834
No Finding,2436,0.28,0.13012614178942777,2516,0.15,0.0,1137,0.103,-0.04693864281789163,681,0.414,0.26425589881148315,,0.022,-0.12810188705329373
