diseases,#60-80,FNR_60-80,Gap_60-80,#40-60,FNR_40-60,Gap_40-60,#20-40,FNR_20-40,Gap_20-40,#80-,FNR_80-,Gap_80-,#0-20,FNR_0-20,Gap_0-20
Enlarged Cardiomediastinum,326,0.807,-0.04542544678580951,230,0.852,0.0,71,0.831,-0.021187997550520477,132,0.909,0.056916996047430835,2.0,1.0,0.14782608695652177
Cardiomegaly,2113,0.292,-0.07706987868792958,1077,0.37,0.0,280,0.379,0.009026396073749832,955,0.252,-0.11718901155527034,16.0,0.375,0.005454967502321273
Lung Opacity,2196,0.305,-0.013437676858470415,1293,0.335,0.016342264735399903,383,0.319,0.0,1024,0.23,-0.08806910900783288,8.0,0.375,0.05646214099216712
Lung Lesion,338,0.669,-0.02282333051563823,152,0.632,-0.059883436401655055,42,0.714,0.02282333051563823,102,0.784,0.09285134172012,2.0,,
Edema,1303,0.352,0.0,699,0.396,0.044016394432568384,127,0.63,0.277657253702842,655,0.342,-0.010279273315250192,3.0,0.0,-0.3522640061396777
Consolidation,481,0.597,0.02076326892503355,272,0.555,-0.020763268925033662,80,0.425,-0.1509103277485631,177,0.672,0.09640605643222788,8.0,,
Pneumonia,673,0.734,0.053754637070281275,441,0.68,0.0,128,0.586,-0.0943346088435374,307,0.704,0.0233109530457134,4.0,0.667,-0.013605442176870763
Atelectasis,2081,0.318,-0.026414959754925527,1280,0.345,0.0,293,0.283,-0.06125479948805462,865,0.351,0.006913836705202292,7.0,0.375,0.03046874999999999
Pneumothorax,447,0.584,0.0,305,0.462,-0.12159753548245134,102,0.431,-0.1525200684300566,98,0.745,0.16100534173400904,29.0,0.75,0.16610738255033553
Pleural Effusion,2602,0.224,-0.0017222078969862942,1249,0.226,0.0,370,0.241,0.014759916040940874,1174,0.164,-0.061385394516635466,46.0,0.571,0.3456479469289717
Pleural Other,115,0.748,-0.044691607684529844,44,0.886,0.09384594172258476,6,0.667,-0.12585102797438497,43,0.837,0.044691607684529844,,,
Fracture,165,0.697,-0.011980267794221233,133,0.639,-0.06985222040301597,35,0.8,0.0910500352360818,86,0.721,0.011980267794221233,,,
Support Devices,3007,0.093,0.0,1937,0.098,0.005306324478814614,696,0.073,-0.019507643085673668,945,0.127,0.0342006218294878,,0.034,-0.058300746533949524
No Finding,2436,0.314,0.14671031506731302,2516,0.167,0.0,1137,0.118,-0.04947509204066708,681,0.436,0.2687942542179391,,0.043,-0.12385083293011681
