diseases,#60-80,FNR_60-80,Gap_60-80,#40-60,FNR_40-60,Gap_40-60,#20-40,FNR_20-40,Gap_20-40,#80-,FNR_80-,Gap_80-,#0-20,FNR_0-20,Gap_0-20
Enlarged Cardiomediastinum,326,0.813,-0.032186986952389196,230,0.826,-0.018983466013472117,71,0.845,0.0,132,0.886,0.0412932138284251,2.0,1.0,0.15492957746478875
Cardiomegaly,2113,0.329,-0.06036948144141707,1077,0.406,0.01647101737630985,280,0.389,0.0,955,0.248,-0.14111817501869858,16.0,0.438,0.04821428571428571
Lung Opacity,2196,0.329,0.010241740263569665,1293,0.366,0.04727807293338909,383,0.319,0.0,1024,0.307,-0.01189723400783288,8.0,0.25,-0.06853785900783288
Lung Lesion,338,0.633,0.007357521021488567,152,0.618,-0.007357521021488678,42,0.595,-0.030540478414972427,102,0.775,0.148731230268501,2.0,,
Edema,1303,0.334,-0.04240681513004546,699,0.376,0.0,127,0.567,0.19067734558931204,655,0.328,-0.04800751345979537,3.0,0.5,0.12374821173104433
Consolidation,481,0.599,0.0034204170233582687,272,0.592,-0.0034204170233581577,80,0.463,-0.1328321817292405,177,0.627,0.03178646233855609,8.0,,
Pneumonia,673,0.765,0.06681761362296279,441,0.698,0.0,128,0.578,-0.12028769841269837,307,0.713,0.014942350447236463,4.0,0.667,-0.031746031746031744
Atelectasis,2081,0.285,-0.013779057544449747,1280,0.299,0.0,293,0.249,-0.0500719923208191,865,0.328,0.029104949421965343,7.0,0.375,0.07578125000000002
Pneumothorax,447,0.564,0.0,305,0.462,-0.10146330729453179,102,0.412,-0.151993683379392,98,0.704,0.1403232433913163,29.0,0.75,0.18624161073825507
Pleural Effusion,2602,0.225,0.0,1249,0.216,-0.008654117760003549,370,0.232,0.007605376321748347,1174,0.158,-0.06639434742243877,46.0,0.429,0.20374437246074445
Pleural Other,115,0.861,0.02181036860005514,44,0.841,0.00184989429175475,6,0.667,-0.17239252995066956,43,0.837,-0.00184989429175475,,,
Fracture,165,0.691,-0.028753437504967394,133,0.707,-0.012895611120825268,35,0.8,0.08033747158594173,86,0.733,0.012895611120825379,,,
Support Devices,3007,0.111,0.0,1937,0.103,-0.007489150680763987,696,0.085,-0.025971487983976096,945,0.143,0.032115539930638023,,0.138,0.027189431556253793
No Finding,2436,0.312,0.13829846943437207,2516,0.174,0.0,1137,0.128,-0.04615981028366564,681,0.435,0.26096652495978745,,0.043,-0.13021013340706436
