diseases,#60-80,FNR_60-80,Gap_60-80,#40-60,FNR_40-60,Gap_40-60,#20-40,FNR_20-40,Gap_20-40,#80-,FNR_80-,Gap_80-,#0-20,FNR_0-20,Gap_0-20
Enlarged Cardiomediastinum,326,0.785,-0.017540827788818825,230,0.791,-0.011512553582363805,71,0.803,0.0,132,0.841,0.038092189500640194,2.0,1.0,0.19718309859154926
Cardiomegaly,2113,0.277,-0.06157355469809084,1077,0.339,0.0,280,0.357,0.018238493168855285,955,0.22,-0.11900907601588667,16.0,0.375,0.036095636025998135
Lung Opacity,2196,0.317,0.022356099625714,1293,0.316,0.020506079128627952,383,0.295,0.0,1024,0.259,-0.036250101990861594,8.0,0.25,-0.045039164490861594
Lung Lesion,338,0.692,-0.06162677621655954,152,0.704,-0.04998710010319918,42,0.833,0.07939886480908154,102,0.804,0.04998710010319918,2.0,,
Edema,1303,0.329,-0.04844218854475807,699,0.378,0.0,127,0.551,0.17349869892872832,655,0.299,-0.07844576221210237,3.0,0.5,0.12231759656652358
Consolidation,481,0.611,0.00965742326036445,272,0.592,-0.00965742326036445,80,0.475,-0.12656918796624683,177,0.661,0.05944776118629558,8.0,,
Pneumonia,673,0.651,0.0,441,0.594,-0.05671292786554938,128,0.586,-0.06487973625557208,307,0.651,0.0006485617900304774,4.0,0.667,0.015849430411094545
Atelectasis,2081,0.258,-0.013627285681350354,1280,0.282,0.010354949421965354,293,0.253,-0.019116573615577337,865,0.272,0.0,7.0,0.375,0.10332369942196534
Pneumothorax,447,0.535,0.0,305,0.446,-0.08877397586826563,102,0.412,-0.12291090933017501,98,0.673,0.13879377254257408,29.0,0.75,0.21532438478747207
Pleural Effusion,2602,0.226,-0.0034194919348237984,1249,0.23,0.0,370,0.257,0.026972929695107423,1174,0.151,-0.07901721718089974,46.0,0.714,0.48450188722406495
Pleural Other,115,0.757,-0.01946640316205539,44,0.795,0.01946640316205528,6,0.5,-0.27598814229249014,43,0.86,0.0844769739865796,,,
Fracture,165,0.764,0.013397129186602852,133,0.737,-0.013397129186602963,35,0.829,0.07833219412166781,86,0.721,-0.029309001891621334,,,
Support Devices,3007,0.109,0.003945019700203917,1937,0.105,0.0,696,0.082,-0.022904687305289023,945,0.14,0.034881300653112735,,0.034,-0.0703184804087373
No Finding,2436,0.321,0.1449318776904984,2516,0.176,0.0,1137,0.12,-0.05606265896503365,681,0.451,0.27513196015398655,,0.022,-0.15393654524089306
