diseases,#60-80,FPR_60-80,Gap_60-80,#40-60,FPR_40-60,Gap_40-60,#20-40,FPR_20-40,Gap_20-40,#80-,FPR_80-,Gap_80-,#0-20,FPR_0-20,Gap_0-20
Enlarged Cardiomediastinum,2417,0.289,0.0716403175158864,2496,0.217,0.0,1243,0.182,-0.03532925407925408,783,0.438,0.2209113125061401,87,0.161,-0.05622789566755085
Cardiomegaly,3189,0.308,0.0777276188847214,3080,0.231,0.0,1499,0.188,-0.04239406357485076,1089,0.418,0.18729502820411914,98,0.092,-0.13868274582560297
Lung Opacity,2141,0.271,0.05571157450381045,2243,0.177,-0.03774894608825208,1084,0.162,-0.05282824980148537,848,0.413,0.19754597563888224,79,0.215,0.0
Lung Lesion,6444,0.085,0.011703190218209661,5157,0.073,0.0,2008,0.091,0.017643117659283364,3012,0.069,-0.004435235594368703,143,0.056,-0.017548284563991372
Edema,4170,0.22,0.03753518923991242,3771,0.161,-0.021643434448249232,1661,0.139,-0.04353584797005472,1643,0.282,0.09919288681891558,115,0.183,0.0
Consolidation,3689,0.29,0.09932787787882819,3398,0.191,0.0,1498,0.165,-0.026108187412528044,1628,0.317,0.12595861418698384,111,0.171,-0.019823531595161953
Pneumonia,5684,0.128,0.012556759953227387,4597,0.098,-0.01780806200865241,1841,0.116,0.0,2581,0.143,0.026882404972955548,138,0.065,-0.050480598918357225
Atelectasis,3068,0.258,0.08251895097552817,2938,0.176,0.0,1416,0.15,-0.0252059512408995,1307,0.316,0.14036113861424818,96,0.125,-0.05062968005445881
Pneumothorax,6656,0.054,0.0,5309,0.044,-0.009483482104046835,2078,0.069,0.014879871316724656,3157,0.034,-0.019726605330644964,137,0.095,0.040954212871982025
Pleural Effusion,3777,0.275,0.09463491930780088,3458,0.18,0.0,1644,0.166,-0.014392733658964929,1613,0.334,0.15308885978119507,107,0.112,-0.06830159510926849
Pleural Other,6603,0.073,0.015805079673853938,5228,0.057,0.0,2180,0.054,-0.0035223180755704978,2923,0.082,0.024573266767198183,151,0.02,-0.03732449317733853
Fracture,5357,0.129,0.014108284896729661,4462,0.097,-0.018475037301290034,1825,0.115,0.0,2257,0.192,0.07722215815635983,127,0.087,-0.028454319922338475
Support Devices,2935,0.192,0.013068188917999185,2307,0.165,-0.014379273032113393,1009,0.161,-0.018540349567825992,1636,0.179,0.0,59,0.22,0.04124362852762006
No Finding,6526,0.059,-0.010703709914414258,4770,0.069,0.0,1797,0.082,0.012967454492637975,3033,0.061,-0.00806661316711145,125,0.072,0.0026079664570230615
