diseases,#60-80,FPR_60-80,Gap_60-80,#40-60,FPR_40-60,Gap_40-60,#20-40,FPR_20-40,Gap_20-40,#80-,FPR_80-,Gap_80-,#0-20,FPR_0-20,Gap_0-20
Enlarged Cardiomediastinum,2417,0.29,0.07447099471690904,2496,0.215,0.0,1243,0.191,-0.02447649142892508,783,0.434,0.21908310000982412,87,0.184,-0.03123618479221929
Cardiomegaly,3189,0.31,0.0799448591546428,3080,0.23,0.0,1499,0.189,-0.040410490110289965,1089,0.416,0.186107831562377,98,0.102,-0.12782931354359925
Lung Opacity,2141,0.227,0.06290683993638368,2243,0.152,-0.012528428810871517,1084,0.139,-0.025258069036386555,848,0.325,0.16091473608789109,79,0.165,0.0
Lung Lesion,6444,0.082,0.01352476375875715,5157,0.068,0.0,2008,0.082,0.01391457632722938,3012,0.068,-0.00019564943638283872,143,0.035,-0.033291703448771505
Edema,4170,0.249,0.040704827442393926,3771,0.187,-0.02174258932586212,1661,0.163,-0.04554092610527968,1643,0.294,0.08527878483156473,115,0.209,0.0
Consolidation,3689,0.268,0.08791415432781657,3398,0.179,-0.0009571077846533826,1498,0.166,-0.014626108084052014,1628,0.286,0.10544635544635544,111,0.18,0.0
Pneumonia,5684,0.145,0.02709760972699031,4597,0.11,-0.00801646965991211,1841,0.118,0.0,2581,0.17,0.052218390313537213,138,0.072,-0.04540695431751804
Atelectasis,3068,0.272,0.08462173045193894,2938,0.188,0.0,1416,0.165,-0.022994523350755552,1307,0.319,0.1315087164834272,96,0.156,-0.031292545949625605
Pneumothorax,6656,0.056,0.0,5309,0.048,-0.00733081953540432,2078,0.063,0.006820971301917528,3157,0.038,-0.01804516938853829,137,0.088,0.03185205818360472
Pleural Effusion,3777,0.239,0.08265424360069232,3458,0.156,0.0,1644,0.15,-0.00591632084140728,1613,0.281,0.12530348236942682,107,0.103,-0.053355891526083374
Pleural Other,6603,0.084,0.018747332743075093,5228,0.066,0.0,2180,0.057,-0.008268813656879329,2923,0.107,0.04113138784528478,151,0.02,-0.04574071352928956
Fracture,5357,0.155,0.027814177327833756,4462,0.114,-0.013497111068812434,1825,0.127,0.0,2257,0.239,0.1121323614204818,127,0.094,-0.032635098694854925
Support Devices,2935,0.185,0.02385289124499984,2307,0.161,0.0,1009,0.153,-0.0081885484046271,1636,0.156,-0.004335693536096696,59,0.186,0.02562576682609302
No Finding,6526,0.062,-0.010154768765608418,4770,0.072,0.0,1797,0.086,0.014347112413071406,3033,0.074,0.0022762194477104064,125,0.064,-0.007907756813417183
