diseases,#60-80,FPR_60-80,Gap_60-80,#40-60,FPR_40-60,Gap_40-60,#20-40,FPR_20-40,Gap_20-40,#80-,FPR_80-,Gap_80-,#0-20,FPR_0-20,Gap_0-20
Enlarged Cardiomediastinum,2417,0.281,0.0809938019159161,2496,0.2,0.0,1243,0.175,-0.02413709078532089,783,0.419,0.21938242951173986,87,0.184,-0.01561118479221929
Cardiomegaly,3189,0.305,0.0836716513339279,3080,0.222,0.0,1499,0.179,-0.04230027810748291,1089,0.404,0.18228715728715728,98,0.102,-0.11971243042671614
Lung Opacity,2141,0.262,0.03464606034090306,2243,0.171,-0.0566488145961839,1084,0.169,-0.05902891307394087,848,0.375,0.14715189873417722,79,0.228,0.0
Lung Lesion,6444,0.089,0.012208821767451736,5157,0.077,0.0,2008,0.091,0.013460797106319727,3012,0.072,-0.005463505682524891,143,0.035,-0.042211618127848495
Edema,4170,0.236,0.03597122302158273,3771,0.175,-0.0247149297268629,1661,0.148,-0.05189644792293799,1643,0.287,0.08727936701156419,115,0.2,0.0
Consolidation,3689,0.267,0.08158363689131315,3398,0.186,0.0,1498,0.162,-0.023481180714957584,1628,0.276,0.09071530731330613,111,0.18,-0.005517288919290098
Pneumonia,5684,0.138,0.026035325628874853,4597,0.107,-0.005086920513661886,1841,0.112,0.0,2581,0.155,0.043470428302257266,138,0.072,-0.039431940737941734
Atelectasis,3068,0.278,0.07978867883528903,2938,0.196,-0.002205298388926691,1416,0.18,-0.0178319209039548,1307,0.306,0.10812770976791633,96,0.198,0.0
Pneumothorax,6656,0.04,0.0,5309,0.035,-0.0044783746667487676,2078,0.05,0.010534902041534018,3157,0.027,-0.012588925936868008,137,0.08,0.040778749649073555
Pleural Effusion,3777,0.249,0.08601504678173713,3458,0.163,0.0,1644,0.154,-0.00949629829768131,1613,0.274,0.11063431624987405,107,0.121,-0.04189391523380702
Pleural Other,6603,0.085,0.015065344970250125,5228,0.07,0.0,2180,0.06,-0.010107185725416426,2923,0.098,0.027645751278478653,151,0.02,-0.05033137917580831
Fracture,5357,0.16,0.027748202965777707,4462,0.122,-0.010460202747094194,1825,0.133,0.0,2257,0.226,0.093360928860592,127,0.094,-0.03811455074964945
Support Devices,2935,0.206,0.005984596993539731,2307,0.179,-0.021035161404166974,1009,0.17,-0.030023189824586072,1636,0.2,0.0,59,0.22,0.01984998549583522
No Finding,6526,0.055,-0.008989273674532637,4770,0.065,0.0007798742138364761,1797,0.078,0.013907623817473569,3033,0.054,-0.009928123969666997,125,0.064,0.0
