diseases,#60-80,FPR_60-80,Gap_60-80,#40-60,FPR_40-60,Gap_40-60,#20-40,FPR_20-40,Gap_20-40,#80-,FPR_80-,Gap_80-,#0-20,FPR_0-20,Gap_0-20
Enlarged Cardiomediastinum,8863,0.046,0.008082759787882206,6298,0.043,0.005529533185138137,2234,0.035,-0.0021374216651745756,3355,0.022,-0.015145305514157971,80,0.037,0.0
Cardiomegaly,7076,0.305,0.12162117737562017,5451,0.184,0.0,2025,0.094,-0.08980886959239553,2532,0.361,0.1773434327889748,66,0.045,-0.13818148463167723
Lung Opacity,6993,0.329,0.08186090306434146,5235,0.247,0.0,1922,0.179,-0.06820219705078781,2463,0.449,0.20226946196254714,74,0.054,-0.19312837192493354
Lung Lesion,8851,0.038,0.01638727351055329,6376,0.022,0.0,2263,0.02,-0.001473502323949008,3385,0.033,0.011286647305534605,82,0.012,-0.009605379930838202
Edema,7886,0.12,0.048763676349204504,5829,0.071,0.0,2178,0.045,-0.0257411999563312,2832,0.152,0.0809935201258465,80,0.0,-0.07119574541087666
Consolidation,8708,0.095,0.0,6256,0.078,-0.016805180760966487,2225,0.095,0.00031075647860935585,3310,0.112,0.01681233494359459,82,0.012,-0.08277502044657563
Pneumonia,8516,0.082,0.011918013011472037,6087,0.069,-0.0007878413441478882,2177,0.07,0.0,3180,0.095,0.024688351346119963,79,0.038,-0.03230551856869574
Atelectasis,7108,0.244,0.059730769692685676,5248,0.185,0.0,2012,0.141,-0.043488686781748526,2622,0.275,0.0907205505478968,74,0.041,-0.14410122775214237
Pneumothorax,8742,0.021,-0.0063628064728990935,6223,0.028,0.0,2203,0.035,0.007766861967622055,3389,0.01,-0.01790201655809337,78,0.077,0.04928367470549698
Pleural Effusion,6587,0.162,0.05412493274551326,5279,0.108,0.0,1935,0.068,-0.03994737081694179,2313,0.183,0.07471495235139892,75,0.0,-0.10816442508050768
Pleural Other,9074,0.016,0.009105746064607994,6484,0.007,0.0,2299,0.007,-0.0005698102788031919,3444,0.022,0.01497297734940864,82,0.0,-0.007094386181369525
Fracture,9024,0.029,0.000860844021537216,6395,0.029,0.0,2270,0.018,-0.010994960958623373,3401,0.044,0.015488568762487418,82,0.012,-0.0164209843818532
Support Devices,6182,0.174,0.03888894969558332,4591,0.145,0.00973991977256497,1609,0.129,-0.006675178321782604,2542,0.135,0.0,53,0.094,-0.040986891913958684
No Finding,6753,0.151,-0.07597055568080299,4012,0.227,0.0,1168,0.248,0.021717382100274518,2806,0.12,-0.1068268821475701,36,0.556,0.3289852664229534
