diseases,#60-80,FPR_60-80,Gap_60-80,#40-60,FPR_40-60,Gap_40-60,#20-40,FPR_20-40,Gap_20-40,#80-,FPR_80-,Gap_80-,#0-20,FPR_0-20,Gap_0-20
Enlarged Cardiomediastinum,8863,0.046,0.010667809026915331,6298,0.04,0.005097751684253832,2234,0.035,0.0,3355,0.02,-0.014944757020281328,80,0.013,-0.022414950760966872
Cardiomegaly,7076,0.292,0.12187019687914913,5451,0.17,0.0,2025,0.086,-0.08431806600216067,2532,0.36,0.18955063682388812,66,0.045,-0.12478944647354114
Lung Opacity,6993,0.368,0.0865640097731788,5235,0.281,0.0,1922,0.202,-0.07898201789563764,2463,0.463,0.18188083347002687,74,0.054,-0.22732130411213508
Lung Lesion,8851,0.049,0.02055859044912944,6376,0.029,0.0,2263,0.022,-0.006606815438584039,3385,0.038,0.009407925585050294,82,0.012,-0.016506258224439206
Edema,7886,0.127,0.05294841611335174,5829,0.074,0.0,2178,0.052,-0.02177059983638377,2832,0.163,0.08867028824317919,80,0.0,-0.07411219763252702
Consolidation,8708,0.061,0.0,6256,0.057,-0.004277895975949443,2225,0.078,0.01688923526345399,3310,0.065,0.003788994250520754,82,0.012,-0.04866845177409054
Pneumonia,8516,0.122,0.02763574251326642,6087,0.094,0.0,2177,0.091,-0.0027248443730356203,3180,0.142,0.048317788296121336,79,0.051,-0.04350213050015284
Atelectasis,7108,0.272,0.057960821369257565,5248,0.214,0.0,2012,0.153,-0.06140178744605537,2622,0.312,0.09760792241074584,74,0.054,-0.15993222643375082
Pneumothorax,8742,0.027,-0.005096425158836713,6223,0.032,0.0,2203,0.04,0.008421309699299065,3389,0.016,-0.01574916948979995,78,0.064,0.03212441851361986
Pleural Effusion,6587,0.165,0.05772815415095024,5279,0.107,0.0,1935,0.068,-0.03862136210317023,2313,0.182,0.07560862211143075,75,0.0,-0.10683841636673612
Pleural Other,9074,0.019,0.011882728030830743,6484,0.007,0.0,2299,0.007,-0.0001071329191486576,3444,0.022,0.015145294662605568,82,0.0,-0.00663170882171499
Fracture,9024,0.034,0.00249847162843312,6395,0.032,0.0,2270,0.018,-0.014122404273713283,3401,0.053,0.020888029299205794,82,0.0,-0.031743549648162624
Support Devices,6182,0.17,0.03799207923513889,4591,0.14,0.007877246231937751,1609,0.128,-0.004149554116082865,2542,0.132,0.0,53,0.075,-0.05670768819678458
No Finding,6753,0.171,-0.07886373457740212,4012,0.25,0.0,1168,0.257,0.007098567311763365,2806,0.14,-0.10969372708673694,36,0.611,0.3613603633543814
