diseases,#60-80,FPR_60-80,Gap_60-80,#40-60,FPR_40-60,Gap_40-60,#20-40,FPR_20-40,Gap_20-40,#80-,FPR_80-,Gap_80-,#0-20,FPR_0-20,Gap_0-20
Enlarged Cardiomediastinum,8863,0.053,0.015093933103440406,6298,0.048,0.009903386930184596,2234,0.038,0.0,3355,0.025,-0.013309148546978213,80,0.013,-0.025548343777976722
Cardiomegaly,7076,0.282,0.11067850075792149,5451,0.171,0.0,2025,0.087,-0.08357039483071405,2532,0.344,0.17341398291195756,66,0.03,-0.14067477193509115
Lung Opacity,6993,0.308,0.07368531036152814,5235,0.235,0.0,1922,0.176,-0.0583872259773974,2463,0.376,0.14079226419198987,74,0.027,-0.2077389710627533
Lung Lesion,8851,0.046,0.017589480241278335,6376,0.027,-0.0008343678320879636,2263,0.028,0.0,3385,0.031,0.0027381594999122093,82,0.012,-0.01608592091223608
Edema,7886,0.13,0.054313532950045096,5829,0.076,0.0,2178,0.051,-0.025665819283935597,2832,0.167,0.09049579687768056,80,0.013,-0.0636708697889861
Consolidation,8708,0.089,0.0,6256,0.075,-0.013206540829668934,2225,0.093,0.0043795967030187954,3310,0.104,0.015273381284980167,82,0.012,-0.07645898921093024
Pneumonia,8516,0.074,0.007031051604232549,6087,0.064,-0.0031580816485866914,2177,0.067,0.0,3180,0.086,0.019413219391985384,79,0.051,-0.016431856636993196
Atelectasis,7108,0.263,0.0523368979645058,5248,0.211,0.0,2012,0.16,-0.051204207680744795,2622,0.296,0.0855917215493665,74,0.054,-0.15669289716545814
Pneumothorax,8742,0.023,-0.005267946271889073,6223,0.029,0.0,2203,0.034,0.005894843846159851,3389,0.016,-0.012374591312072167,78,0.077,0.04831950951186047
Pleural Effusion,6587,0.166,0.055154071261443546,5279,0.111,0.0,1935,0.076,-0.03465802044373567,2313,0.188,0.07787277113872544,75,0.0,-0.11062701269179769
Pleural Other,9074,0.014,0.008886576879886542,6484,0.004,-0.0007471129120592357,2299,0.005,0.0,3444,0.013,0.008136901414996876,82,0.0,-0.005219660722053067
Fracture,9024,0.029,0.0038380667797869583,6395,0.025,0.0,2270,0.014,-0.011206786689766579,3401,0.04,0.015125064398343033,82,0.0,-0.024863174354964816
Support Devices,6182,0.164,0.03436730733448368,4591,0.134,0.003920885816175418,1609,0.125,-0.004896728130857161,2542,0.13,0.0,53,0.075,-0.05434734201267759
No Finding,6753,0.147,-0.06726425934694066,4012,0.215,0.0,1168,0.227,0.012277380188202514,2806,0.124,-0.09094260340859105,36,0.528,0.3131715963221447
