diseases,#60-80,FPR_60-80,Gap_60-80,#40-60,FPR_40-60,Gap_40-60,#20-40,FPR_20-40,Gap_20-40,#80-,FPR_80-,Gap_80-,#0-20,FPR_0-20,Gap_0-20
Enlarged Cardiomediastinum,8863,0.045,0.01402317239111104,6298,0.038,0.006773405492016479,2234,0.031,0.0,3355,0.018,-0.012854049395135736,80,0.0,-0.03133393017009848
Cardiomegaly,7076,0.278,0.11091367576224337,5451,0.167,0.0,2025,0.086,-0.08156627733952997,2532,0.319,0.15162312058920446,66,0.03,-0.13718917296242558
Lung Opacity,6993,0.367,0.08637405313623076,5235,0.281,0.0,1922,0.197,-0.08380288759221882,2463,0.445,0.16358646652404002,74,0.054,-0.22693926017708255
Lung Lesion,8851,0.048,0.02198204145672812,6376,0.026,0.0,2263,0.022,-0.003940567006965472,3385,0.04,0.014142120840893377,82,0.012,-0.01384000979282064
Edema,7886,0.144,0.057282718087699094,5829,0.087,0.0,2178,0.058,-0.029299214954013067,2832,0.173,0.08587214424662194,80,0.0,-0.08715045462343456
Consolidation,8708,0.073,0.0,6256,0.066,-0.007384367139837894,2225,0.092,0.018763941719612084,3310,0.078,0.0047220529929071775,82,0.012,-0.06072632958759537
Pneumonia,8516,0.095,0.013887946831380255,6087,0.081,0.0,2177,0.081,-0.00014707881032031966,3180,0.1,0.018693255964613742,79,0.038,-0.043017595082277434
Atelectasis,7108,0.283,0.06145310762864242,5248,0.222,0.0,2012,0.162,-0.06007741659797314,2622,0.31,0.08846041817826644,74,0.054,-0.16755417765326303
Pneumothorax,8742,0.02,0.0,6223,0.024,0.0037889603930894057,2203,0.033,0.012660768218875015,3389,0.011,-0.00926311652371761,78,0.0,-0.020475863646762755
Pleural Effusion,6587,0.149,0.05088164812164965,5279,0.099,0.0,1935,0.063,-0.03545440884436554,2313,0.164,0.06535295901575773,75,0.0,-0.09850350445160068
Pleural Other,9074,0.021,0.01212591323625052,6484,0.008,0.0,2299,0.005,-0.00326275753828006,3444,0.026,0.01706926582793633,82,0.0,-0.008482418260333127
Fracture,9024,0.026,0.004931424289809749,6395,0.021,0.0,2270,0.014,-0.007453854711658681,3401,0.043,0.02152427688218454,82,0.0,-0.02111024237685692
Support Devices,6182,0.17,0.028297045736448118,4591,0.142,0.001225244684765342,1609,0.132,-0.009468523583168825,2542,0.141,0.0,53,0.094,-0.04688775737422621
No Finding,6753,0.152,-0.07962285954220857,4012,0.232,0.0,1168,0.253,0.02101315915267893,2806,0.13,-0.10183330976422122,36,0.528,0.2962224437797718
