diseases,#60-80,FNR_60-80,Gap_60-80,#40-60,FNR_40-60,Gap_40-60,#20-40,FNR_20-40,Gap_20-40,#80-,FNR_80-,Gap_80-,#0-20,FNR_0-20,Gap_0-20
Enlarged Cardiomediastinum,5131,0.085,-0.01547930135704638,3441,0.101,0.0,1194,0.114,0.013060069309056177,2600,0.067,-0.03391970133905618,79,0.139,0.038397728066980816
Cardiomegaly,4359,0.108,-0.00982416366408917,2857,0.13,0.01185941650023678,938,0.133,0.01561520130440236,2294,0.089,-0.028283501718036827,68,0.118,0.0
Lung Opacity,5407,0.086,-0.020303344568576964,3694,0.106,0.0,1353,0.125,0.018789583475890867,2535,0.084,-0.022094360597546644,87,0.149,0.043307258119721956
Lung Lesion,1104,0.342,-0.04222408026755853,780,0.385,0.0,429,0.338,-0.04662004662004665,371,0.399,0.014306448268712413,23,0.478,0.09364548494983277
Edema,3378,0.167,-0.01761168384879727,2166,0.193,0.00916578614196914,776,0.184,0.0,1740,0.163,-0.021634672354544388,51,0.275,0.09023145340610472
Consolidation,3859,0.13,-0.017751967687184067,2539,0.134,-0.01327350315140785,939,0.154,0.0068412477358164026,1755,0.148,0.0,55,0.182,0.03423983423983423
Pneumonia,1864,0.325,0.0,1340,0.279,-0.04600281852539878,596,0.272,-0.05329521560042633,802,0.397,0.07140143204221205,28,0.429,0.10346413243408947
Atelectasis,4480,0.112,-0.021991110131948752,2999,0.134,0.0,1021,0.143,0.008952380143691374,2076,0.119,-0.015065876165529818,70,0.214,0.08024103272519409
Pneumothorax,892,0.438,0.00658593252307732,628,0.419,-0.01296506573461309,359,0.432,0.0,226,0.562,0.13019202800305668,29,0.276,-0.15589280568629332
Pleural Effusion,3771,0.139,-0.00559609229861785,2479,0.145,0.0,793,0.159,0.014073831788536967,1770,0.134,-0.010353181413135876,59,0.169,0.02467506717443474
Pleural Other,945,0.395,-0.11616057050839662,709,0.408,-0.10325320414545908,257,0.521,0.010531212992725414,460,0.511,0.0,15,0.6,0.08913043478260863
Fracture,2191,0.271,-0.02312820552491318,1475,0.294,0.0,612,0.333,0.03909604519774007,1126,0.292,-0.0020525634464280684,39,0.359,0.06473707083876573
Support Devices,4613,0.065,-0.001849844641953896,3630,0.067,0.0,1428,0.069,0.001960784313725497,1747,0.113,0.046670482732302995,107,0.019,-0.047975077881619935
No Finding,1022,0.246,0.0504749176650279,1167,0.178,-0.016887161159529346,640,0.139,-0.056059451219512196,350,0.397,0.20202090592334493,41,0.195,0.0
