diseases,#60-80,FPR_60-80,Gap_60-80,#40-60,FPR_40-60,Gap_40-60,#20-40,FPR_20-40,Gap_20-40,#80-,FPR_80-,Gap_80-,#0-20,FPR_0-20,Gap_0-20
Enlarged Cardiomediastinum,11831,0.055,0.01556703525754622,13260,0.041,0.0021320809685544326,7137,0.021,-0.01768222558635,2454,0.039,0.0,788,0.019,-0.020084271406054136
Cardiomegaly,9576,0.269,0.10965222462095836,11514,0.159,0.0,6524,0.08,-0.07929250845637018,1823,0.373,0.2135534684051308,757,0.026,-0.13303797180802693
Lung Opacity,9262,0.366,0.12484400216624714,10975,0.241,0.0,6364,0.133,-0.10802609782532441,1747,0.421,0.1800180198270253,741,0.072,-0.16975066016188184
Lung Lesion,11773,0.03,0.003147015588244522,13209,0.026,0.0,7138,0.009,-0.017530988374691504,2449,0.034,0.007394298917849949,784,0.013,-0.013741983279798406
Edema,10665,0.109,0.041151343107098615,12487,0.068,0.0,6920,0.034,-0.0341756814370182,2036,0.197,0.12945526215633613,792,0.0,-0.0679907103387523
Consolidation,11642,0.044,0.011344333466494272,13092,0.032,0.0,7077,0.031,-0.0012346511277609266,2398,0.046,0.01382600124811209,785,0.018,-0.014628177658938899
Pneumonia,11251,0.091,0.014306544387057862,12706,0.076,0.0,6868,0.056,-0.02035170924801668,2328,0.091,0.01523166261251685,755,0.042,-0.033879076788042986
Atelectasis,9446,0.251,0.09305560307541694,11467,0.158,0.0,6597,0.07,-0.08781241606249508,2000,0.28,0.12165575128629985,763,0.041,-0.11721515303873295
Pneumothorax,11767,0.026,0.0012810503324430685,13114,0.025,0.0,6910,0.019,-0.005740597812304741,2423,0.013,-0.011759854895742348,755,0.025,0.0006116510639759161
Pleural Effusion,8833,0.14,0.06757702282570903,11361,0.072,0.0,6665,0.034,-0.03874438374579121,1650,0.179,0.10643509294156246,750,0.02,-0.052352785846316335
Pleural Other,12090,0.022,0.007898946057876034,13489,0.014,0.0,7250,0.003,-0.011040730505827226,2485,0.024,0.009805172498405065,797,0.004,-0.010173166797091883
Fracture,11962,0.043,0.015681460357981424,13249,0.027,0.0,7139,0.012,-0.014683371695634504,2442,0.068,0.04110711552782652,785,0.019,-0.007761672194464383
Support Devices,9225,0.103,0.032029933127211516,10789,0.071,0.0,6057,0.052,-0.019765651099061657,1910,0.106,0.0350064225779699,731,0.019,-0.05212445314989339
No Finding,9006,0.15,-0.11020188731310351,8187,0.261,0.0,3060,0.378,0.11712063841048814,2016,0.103,-0.1579785679387182,245,0.473,0.21281224838781243
