diseases,#60-80,FPR_60-80,Gap_60-80,#40-60,FPR_40-60,Gap_40-60,#20-40,FPR_20-40,Gap_20-40,#80-,FPR_80-,Gap_80-,#0-20,FPR_0-20,Gap_0-20
Enlarged Cardiomediastinum,11831,0.072,0.027935016905086214,13260,0.056,0.011465075027566038,7137,0.028,-0.01611406928253295,2454,0.044,0.0,788,0.024,-0.020305602786706883
Cardiomegaly,9576,0.296,0.11719170037304485,11514,0.179,0.0,6524,0.093,-0.08545771644510927,1823,0.414,0.23495187379984642,757,0.036,-0.14298496873256816
Lung Opacity,9262,0.43,0.139426672483988,10975,0.291,0.0,6364,0.171,-0.119815147562671,1747,0.497,0.2064902149209905,741,0.097,-0.19376794887165347
Lung Lesion,11773,0.037,0.00993060610929972,13209,0.034,0.0062553400290291696,7138,0.012,-0.015029722048477651,2449,0.027,0.0,784,0.011,-0.015878513512387393
Edema,10665,0.097,0.033792293539899404,12487,0.063,0.0,6920,0.032,-0.030415354512045134,2036,0.173,0.11010271900851541,792,0.0,-0.06278529670857692
Consolidation,11642,0.089,0.029992297975245087,13092,0.059,0.0,7077,0.045,-0.013945169328301345,2398,0.101,0.04217927048383074,785,0.013,-0.0459993072056451
Pneumonia,11251,0.082,0.00850821760209279,12706,0.073,0.0,6868,0.046,-0.02748629206861946,2328,0.087,0.013418586775844732,755,0.03,-0.04288759651538669
Atelectasis,9446,0.268,0.09545520169163771,11467,0.173,0.0,6597,0.081,-0.09176917361468771,2000,0.303,0.13048177378564577,763,0.046,-0.1271466665813267
Pneumothorax,11767,0.03,0.0029963689641142217,13114,0.027,0.0,6910,0.022,-0.005210127729956628,2423,0.017,-0.0095839141580191,755,0.042,0.015466308186892933
Pleural Effusion,8833,0.154,0.07038631218980786,11361,0.083,0.0,6665,0.043,-0.040444610756597256,1650,0.189,0.10573557065239135,750,0.027,-0.056688671771851065
Pleural Other,12090,0.019,0.007057093544530142,13489,0.012,0.0,7250,0.006,-0.006725285737292966,2485,0.021,0.008142680681911917,797,0.004,-0.008616342718212794
Fracture,11962,0.026,0.007951778866907507,13249,0.018,0.0,7139,0.008,-0.009979308367615954,2442,0.044,0.02585292392070262,785,0.01,-0.007772537093293426
Support Devices,9225,0.114,0.03618086372725808,10789,0.078,0.0,6057,0.057,-0.020402891411927783,1910,0.114,0.03627904900230455,731,0.023,-0.05460126269865734
No Finding,9006,0.167,-0.10748194660666352,8187,0.275,0.0,3060,0.383,0.10830273724244799,2016,0.121,-0.1536720526735184,245,0.449,0.17427579313147024
