diseases,#60-80,FPR_60-80,Gap_60-80,#40-60,FPR_40-60,Gap_40-60,#20-40,FPR_20-40,Gap_20-40,#80-,FPR_80-,Gap_80-,#0-20,FPR_0-20,Gap_0-20
Enlarged Cardiomediastinum,11831,0.063,0.029185499375444193,13260,0.046,0.012040196490534005,7137,0.022,-0.012040196490534002,,,,788,0.022,-0.012464630821101313
Cardiomegaly,9576,0.264,0.149616004309134,11514,0.154,0.04018297453999167,6524,0.074,-0.04018297453999167,,,,757,0.025,-0.08896495381051563
Lung Opacity,9262,0.416,0.20232567007782343,10975,0.274,0.060253726471080904,6364,0.153,-0.06025372647108093,,,,741,0.074,-0.13923523599114615
Lung Lesion,11773,0.027,0.011014105893280796,13209,0.023,0.007811756085287967,7138,0.008,-0.007811756085287971,,,,784,0.006,-0.009279539892562631
Edema,10665,0.093,0.04883542102027398,12487,0.058,0.013680059631959438,6920,0.031,-0.01368005963195943,,,,792,0.0,-0.04446040645276868
Consolidation,11642,0.126,0.05506246134756826,13092,0.084,0.013178883272609396,7077,0.058,-0.013178883272609382,,,,785,0.029,-0.04138976466914917
Pneumonia,11251,0.154,0.06276920386914078,12706,0.119,0.02824010109550691,6868,0.063,-0.028240101095506898,,,,755,0.034,-0.0565578198950456
Atelectasis,9446,0.267,0.14847270959405642,11467,0.162,0.043530222207786906,6597,0.075,-0.043530222207786906,,,,763,0.039,-0.07909426488098262
Pneumothorax,11767,0.026,0.0023050280626115173,13114,0.021,-0.0023050280626115173,6910,0.014,-0.009526792807572052,,,,755,0.028,0.0045395857013554065
Pleural Effusion,8833,0.152,0.09016437088465507,11361,0.082,0.01994225120843189,6665,0.042,-0.019942251208431898,,,,750,0.024,-0.03765267881533362
Pleural Other,12090,0.025,0.015368549509707334,13489,0.015,0.005307415237447627,7250,0.004,-0.005307415237447626,,,,797,0.001,-0.008190641127639293
Fracture,11962,0.026,0.0068296095605463215,13249,0.019,0.00014470506847530373,7139,0.011,-0.008327085337259937,,,,785,0.019,-0.00014470506847530373
Support Devices,9225,0.106,0.04337585722926096,10789,0.073,0.010304262930038707,6057,0.052,-0.0103042629300387,,,,731,0.026,-0.03664861086767719
No Finding,9006,0.164,-0.18020957864518392,8187,0.28,-0.06482162059889301,3060,0.409,0.06482162059889301,,,,245,0.522,0.17779347600772327
