diseases,#60-80,FPR_60-80,Gap_60-80,#40-60,FPR_40-60,Gap_40-60,#20-40,FPR_20-40,Gap_20-40,#80-,FPR_80-,Gap_80-,#0-20,FPR_0-20,Gap_0-20
Enlarged Cardiomediastinum,11831,0.106,0.031350315332078105,13260,0.075,0.0,7137,0.035,-0.03936239481080368,2454,0.088,0.01280059889293314,788,0.033,-0.04181653918888914
Cardiomegaly,9576,0.242,0.09544281495818754,11514,0.147,0.0,6524,0.071,-0.07591637701315712,1823,0.323,0.17550686702472248,757,0.029,-0.11797630086306969
Lung Opacity,9262,0.409,0.12948907752007,10975,0.28,0.0,6364,0.157,-0.12315529122384025,1747,0.464,0.18383420716020826,741,0.086,-0.19344799707346166
Lung Lesion,11773,0.031,0.005941507439786598,13209,0.027,0.0019376892050011925,7138,0.01,-0.015509787161599,2449,0.025,0.0,784,0.009,-0.016387884267631103
Edema,10665,0.109,0.03451811168190633,12487,0.075,0.0,6920,0.039,-0.03613389138576953,2036,0.194,0.11879899299593777,792,0.001,-0.07345508015204501
Consolidation,11642,0.065,0.013369579143710585,13092,0.051,0.0,7077,0.04,-0.011775730808170487,2398,0.068,0.016491490133212654,785,0.019,-0.03237354070458742
Pneumonia,11251,0.134,0.018704859199041676,12706,0.116,0.0,6868,0.075,-0.0404954308728898,2328,0.14,0.024262288076688607,755,0.056,-0.0601429371116321
Atelectasis,9446,0.282,0.10675110920896261,11467,0.175,0.0,6597,0.078,-0.09678378084734494,2000,0.322,0.14665043167349787,763,0.043,-0.13159924067250475
Pneumothorax,11767,0.027,0.003462125327836501,13114,0.024,0.0,6910,0.019,-0.004894008612441669,2423,0.017,-0.0062287212344259955,755,0.028,0.004251964686644977
Pleural Effusion,8833,0.161,0.07380935291059755,11361,0.087,0.0,6665,0.045,-0.0422429874698672,1650,0.191,0.10350481311664307,750,0.031,-0.056737611125781184
Pleural Other,12090,0.018,0.005742264275501634,13489,0.012,0.0,7250,0.003,-0.00983390297586028,2485,0.016,0.003641986845828475,797,0.004,-0.008690477198159418
Fracture,11962,0.019,0.0023287382141972714,13249,0.017,0.0,7139,0.007,-0.010258783006466031,2442,0.027,0.010454113669450676,785,0.017,-0.0004219042129366343
Support Devices,9225,0.122,0.03813234447109509,10789,0.084,0.0,6057,0.06,-0.023826525934845223,1910,0.125,0.040354850465788544,731,0.029,-0.055524709199304814
No Finding,9006,0.17,-0.10797060743755618,8187,0.278,0.0,3060,0.393,0.11517518207967198,2016,0.121,-0.15660352940492184,245,0.49,0.21216064293067904
