diseases,#60-80,FPR_60-80,Gap_60-80,#40-60,FPR_40-60,Gap_40-60,#20-40,FPR_20-40,Gap_20-40,#80-,FPR_80-,Gap_80-,#0-20,FPR_0-20,Gap_0-20
Enlarged Cardiomediastinum,8180,0.071,0.007042209195941465,6526,0.057,-0.007042209195941451,2794,0.076,0.01116753538391324,,,,216,0.046,-0.018055137539547086
Cardiomegaly,7536,0.094,0.0411510761489389,6172,0.063,0.010228603176691095,2631,0.043,-0.010228603176691095,,,,213,0.014,-0.03871346139479485
Lung Opacity,4297,0.616,0.13050720251250225,3765,0.496,0.010444933552503255,1792,0.355,-0.13050065907697883,,,,143,0.476,-0.01044493355250331
Lung Lesion,8236,0.031,0.006167912587932079,6598,0.027,0.002426989138569747,2812,0.019,-0.005703087780294845,,,,226,0.022,-0.002426989138569747
Edema,6402,0.203,0.032712715125975095,5428,0.177,0.006327664120589688,2506,0.103,-0.06699687283449116,,,,189,0.164,-0.0063276641205897155
Consolidation,8081,0.15,-0.0018372456118845304,6370,0.154,0.0018372456118845304,2752,0.14,-0.011796680677772647,,,,206,0.238,0.08616914117817678
Pneumonia,8386,0.048,-0.0002299393654357773,6664,0.041,-0.007138963409110008,2858,0.049,0.0002299393654357773,,,,214,0.07,0.021687987932174163
Atelectasis,7219,0.357,0.07888089469231663,5751,0.332,0.05419628097914175,2653,0.224,-0.054196280979141725,,,,200,0.15,-0.12809375553624688
Pneumothorax,7808,0.04,-0.021413891057509703,6279,0.051,-0.010599826513714224,2575,0.072,0.01059982651371423,,,,197,0.117,0.05550643535507248
Pleural Effusion,4916,0.303,0.11084231797611041,4210,0.224,0.03129992501425627,2116,0.161,-0.03129992501425627,,,,163,0.135,-0.05748371895350965
Pleural Other,8501,0.013,0.002038767470166191,6758,0.009,-0.001931501647416515,2882,0.013,0.001931501647416515,,,,224,0.0,-0.011253786347031785
Fracture,8289,0.024,-0.010410801577691788,6545,0.028,-0.006305459246635718,2814,0.042,0.007870034560113578,,,,221,0.041,0.006305459246635718
Support Devices,4053,0.221,-0.004875389933335528,3139,0.23,0.004875389933335528,1435,0.207,-0.018484098929381798,,,,109,0.284,0.05895092968040627
No Finding,7990,0.076,-0.08477116666102902,5950,0.142,-0.01801271860095391,2337,0.211,0.050160656012049165,,,,185,0.178,0.01801271860095388
