diseases,#60-80,FPR_60-80,Gap_60-80,#40-60,FPR_40-60,Gap_40-60,#20-40,FPR_20-40,Gap_20-40,#80-,FPR_80-,Gap_80-,#0-20,FPR_0-20,Gap_0-20
Enlarged Cardiomediastinum,8180,0.045,0.004036493706420362,6526,0.037,-0.004297557712504278,2794,0.046,0.005096834324545475,,,,216,0.037,-0.004036493706420355
Cardiomegaly,7536,0.1,0.04558901672924434,6172,0.062,0.006838918690433349,2631,0.048,-0.006838918690433342,,,,213,0.014,-0.04064494756608176
Lung Opacity,4297,0.602,0.11413200509725746,3765,0.486,-0.001594554184195629,1792,0.35,-0.13746950675486536,,,,143,0.49,0.001594554184195629
Lung Lesion,8236,0.047,0.015763163027163414,6598,0.04,0.008119081733893238,2812,0.023,-0.008119081733893238,,,,226,0.013,-0.018315584711020343
Edema,6402,0.202,0.045249139824613316,5428,0.172,0.014330455837456596,2506,0.103,-0.053835643387336846,,,,189,0.143,-0.014330455837456568
Consolidation,8081,0.143,0.007630251875631322,6370,0.126,-0.00911420189571091,2752,0.128,-0.007630251875631322,,,,206,0.248,0.11239895900718647
Pneumonia,8386,0.042,-0.002741957045607521,6664,0.04,-0.005577815930062811,2858,0.048,0.002741957045607514,,,,214,0.079,0.03424559006785037
Atelectasis,7219,0.279,0.022131527912453264,5751,0.296,0.038990885580852286,2653,0.233,-0.024564622522328855,,,,200,0.235,-0.022131527912453264
Pneumothorax,7808,0.046,-0.006033446912010271,6279,0.05,-0.0021008539792836955,2575,0.054,0.0021008539792836955,,,,197,0.071,0.018797911788164486
Pleural Effusion,4916,0.254,0.07258678794138332,4210,0.197,0.01563397111755535,2116,0.149,-0.03193976860558112,,,,163,0.166,-0.01563397111755535
Pleural Other,8501,0.016,0.0011261805333826272,6758,0.012,-0.0023852702894389417,2882,0.02,0.005952856841456272,,,,224,0.013,-0.001126180533382629
Fracture,8289,0.031,-0.0001536681935225756,6545,0.032,0.0005650215460523966,2814,0.029,-0.0023805257366327284,,,,221,0.032,0.00015366819352256866
Support Devices,4053,0.218,-0.008976199161681159,3139,0.236,0.008976199161681159,1435,0.209,-0.018027007656442634,,,,109,0.239,0.011445868985823143
No Finding,7990,0.07,-0.06960447663826888,5950,0.132,-0.006754485578014974,2337,0.193,0.053790995772419914,,,,185,0.146,0.0067544855780150015
