diseases,#60-80,FNR_60-80,Gap_60-80,#40-60,FNR_40-60,Gap_40-60,#20-40,FNR_20-40,Gap_20-40,#80-,FNR_80-,Gap_80-,#0-20,FNR_0-20,Gap_0-20
Enlarged Cardiomediastinum,5131,0.087,-0.018761401017265117,3441,0.106,0.0,1194,0.129,0.02290440870437628,2600,0.079,-0.02722766190508126,79,0.152,0.04582491842598009
Cardiomegaly,4359,0.095,0.0,2857,0.112,0.017488509204079142,938,0.124,0.029150286322785823,2294,0.077,-0.01779520790243877,68,0.088,-0.006281796958287789
Lung Opacity,5407,0.058,-0.02053199801456513,3694,0.078,0.0,1353,0.094,0.015630508473219798,2535,0.052,-0.026558447036561232,87,0.103,0.025213300225902208
Lung Lesion,1104,0.361,-0.0471850613154961,780,0.408,0.0,429,0.366,-0.04172494172494173,371,0.412,0.004706614140576437,23,0.478,0.07056856187290972
Edema,3378,0.149,-0.027161247045818737,2166,0.176,0.0,776,0.18,0.004050413608628178,1740,0.143,-0.03325850924953036,51,0.255,0.07854000325892127
Consolidation,3859,0.126,-0.0196189172607934,2539,0.128,-0.01690213860359588,939,0.149,0.0037956363834958096,1755,0.145,0.0,55,0.164,0.018337218337218325
Pneumonia,1864,0.286,0.0,1340,0.25,-0.03594420600858367,596,0.24,-0.04601132010254341,802,0.334,0.04822038252009464,28,0.393,0.10691293684855918
Atelectasis,4480,0.086,-0.017430289263087692,2999,0.103,0.0,1021,0.112,0.008287450697735024,2076,0.09,-0.013290717972143568,70,0.129,0.025203639308340867
Pneumothorax,892,0.444,0.0,628,0.435,-0.009232812544628821,359,0.454,0.010092808873677472,226,0.571,0.12685027183618397,29,0.276,-0.16808411937528994
Pleural Effusion,3771,0.121,-0.010224708843590655,2479,0.13,-0.0008530674055508836,793,0.131,0.0,1770,0.132,0.0010558488469019078,59,0.153,0.021394831897749378
Pleural Other,945,0.348,-0.09543161838881681,709,0.371,-0.07263477358915116,257,0.444,0.0,460,0.454,0.010768059549991549,15,0.533,0.08975356679636837
Fracture,2191,0.258,-0.030940442023996484,1475,0.289,0.0,612,0.315,0.0265459178021491,1126,0.269,-0.019719420778517016,39,0.41,0.12144285093437635
Support Devices,4613,0.07,-0.0018813163660728743,3630,0.072,0.0,1428,0.079,0.007230826214783437,1747,0.115,0.0431535524890367,107,0.019,-0.053209237661234254
No Finding,1022,0.188,0.041337364610949834,1167,0.147,0.0,640,0.1,-0.04652956298200514,350,0.32,0.17347043701799486,41,0.146,-0.00018809956737100841
