diseases,#60-80,FNR_60-80,Gap_60-80,#40-60,FNR_40-60,Gap_40-60,#20-40,FNR_20-40,Gap_20-40,#80-,FNR_80-,Gap_80-,#0-20,FNR_0-20,Gap_0-20
Enlarged Cardiomediastinum,5131,0.074,-0.020488824872048922,3441,0.094,0.0,1194,0.115,0.020581693705376644,2600,0.055,-0.03915867480383609,79,0.177,0.08305651506958163
Cardiomegaly,4359,0.071,-0.025608208604970276,2857,0.097,0.0,938,0.107,0.00965496035995829,2294,0.049,-0.04769591138667657,68,0.103,0.00598632872820111
Lung Opacity,5407,0.054,-0.0216095780710581,3694,0.076,0.0,1353,0.095,0.018805990097603392,2535,0.046,-0.030039223475565154,87,0.092,0.01615543067664868
Lung Lesion,1104,0.348,-0.04960981047937568,780,0.397,0.0,429,0.343,-0.054778554778554756,371,0.437,0.0392217845048034,23,0.478,0.08082497212932
Edema,3378,0.115,-0.024610426470857524,2166,0.14,0.0007139389439415056,776,0.139,0.0,1740,0.102,-0.03687640715724612,51,0.216,0.07651101677784516
Consolidation,3859,0.106,-0.0013956348758110831,2539,0.105,-0.0023568513525189377,939,0.132,0.02493287093926072,1755,0.107,0.0,55,0.164,0.056513856513856514
Pneumonia,1864,0.276,0.0,1340,0.24,-0.035989046185382095,596,0.232,-0.04474392948699485,802,0.335,0.05912391767362707,28,0.5,0.22371244635193133
Atelectasis,4480,0.079,-0.0155701454056114,2999,0.094,0.0,1021,0.118,0.023167043274953877,2076,0.075,-0.019701975160634794,70,0.129,0.034206640308674305
Pneumothorax,892,0.419,0.0,628,0.393,-0.02597040929993427,359,0.432,0.01247236344104824,226,0.535,0.11611571887773331,29,0.276,-0.14342044224524508
Pleural Effusion,3771,0.118,-0.011343655841928202,2479,0.129,0.0,793,0.141,0.01215150517817512,1770,0.115,-0.013830070900650207,59,0.153,0.02345806469257014
Pleural Other,945,0.326,-0.07485228419080558,709,0.35,-0.05098977570206298,257,0.401,0.0,460,0.415,0.014439181187616279,15,0.467,0.06588845654993514
Fracture,2191,0.243,-0.024528695975059744,1475,0.268,0.0,612,0.288,0.019785089176913684,1126,0.263,-0.004919167895956866,39,0.333,0.06553672316384179
Support Devices,4613,0.055,-0.0023559004108045373,3630,0.058,0.0,1428,0.07,0.012176771535060305,1747,0.095,0.03716879467516923,107,0.019,-0.03915965088437476
No Finding,1022,0.213,0.06163628954768863,1167,0.152,0.0,640,0.113,-0.039170951156812336,350,0.357,0.2054719059860448,41,0.146,-0.005329487742178202
