diseases,#60-80,FNR_60-80,Gap_60-80,#40-60,FNR_40-60,Gap_40-60,#20-40,FNR_20-40,Gap_20-40,#80-,FNR_80-,Gap_80-,#0-20,FNR_0-20,Gap_0-20
Enlarged Cardiomediastinum,5131,0.089,-0.015844904195914195,3441,0.105,0.0,1194,0.129,0.024066861479732277,2600,0.072,-0.032988286052802185,79,0.127,0.02167091550513356
Cardiomegaly,4359,0.083,-0.0056475446338205,2857,0.104,0.01536988614136589,938,0.117,0.029035494794932892,2294,0.062,-0.026334683829940003,68,0.088,0.0
Lung Opacity,5407,0.052,-0.01699584829371887,3694,0.076,0.007103784328734389,1353,0.085,0.016030787267120317,2535,0.046,-0.023206148405087397,87,0.069,0.0
Lung Lesion,1104,0.376,-0.05358138238573018,780,0.429,0.0,429,0.392,-0.037878787878787845,371,0.456,0.026038426981823237,23,0.522,0.09225195094760313
Edema,3378,0.111,-0.022015558526060075,2166,0.14,0.00761891843009585,776,0.133,0.0,1740,0.103,-0.02985839554449579,51,0.216,0.08295431574691733
Consolidation,3859,0.114,-0.00558741211760129,2539,0.119,-0.00014385276299415384,939,0.13,0.010837133520839606,1755,0.119,0.0,55,0.127,0.008184408184408173
Pneumonia,1864,0.296,0.0,1340,0.26,-0.03589936583178527,596,0.26,-0.035533744275139,802,0.348,0.05227944088277159,28,0.429,0.13297057020232983
Atelectasis,4480,0.088,-0.021980020125756214,2999,0.11,0.0,1021,0.116,0.0058697332672758284,2076,0.089,-0.020589554257327905,70,0.114,0.004582479874243789
Pneumothorax,892,0.376,0.0,628,0.352,-0.023649710091114218,359,0.379,0.0032695454488677056,226,0.496,0.12001468312234614,29,0.276,-0.09969846915107466
Pleural Effusion,3771,0.113,-0.008728958360276706,2479,0.122,0.0,793,0.129,0.006398768571511407,1770,0.114,-0.00810241053094582,59,0.153,0.030315668565099388
Pleural Other,945,0.353,-0.05525649873475963,709,0.375,-0.033519347519470166,257,0.463,0.05433936728133987,460,0.409,0.0,15,0.533,0.12463768115942025
Fracture,2191,0.234,-0.03750319102027555,1475,0.271,0.0,612,0.278,0.006591337099811689,1126,0.241,-0.030511485082939466,39,0.359,0.08778791829639288
Support Devices,4613,0.062,-0.0006531427830917397,3630,0.063,0.0,1428,0.071,0.0076428918674908,1747,0.106,0.04338283180454175,107,0.009,-0.05373960505651244
No Finding,1022,0.228,0.05317714647925584,1167,0.175,0.0,640,0.117,-0.057619697943444736,350,0.397,0.2223356591994124,41,0.122,-0.05285597843124962
