diseases,#60-80,FNR_60-80,Gap_60-80,#40-60,FNR_40-60,Gap_40-60,#20-40,FNR_20-40,Gap_20-40,#80-,FNR_80-,Gap_80-,#0-20,FNR_0-20,Gap_0-20
Enlarged Cardiomediastinum,5131,0.082,-0.018211269278469902,3441,0.1,0.0,1194,0.119,0.018666421324874893,2600,0.064,-0.03641539802830125,79,0.127,0.02632072660655757
Cardiomegaly,4359,0.074,-0.014135729997436008,2857,0.095,0.006619448619489793,938,0.11,0.02157280822776872,2294,0.061,-0.026770603620698503,68,0.088,0.0
Lung Opacity,5407,0.053,-0.024984106407613546,3694,0.078,0.0,1353,0.092,0.014693730389585241,2535,0.048,-0.029567324378036136,87,0.08,0.0027662129952890357
Lung Lesion,1104,0.361,-0.039869007803790435,780,0.401,0.0,429,0.368,-0.03298368298368298,371,0.423,0.02189854170986244,23,0.478,0.0769788182831661
Edema,3378,0.128,-0.025760225351424942,2166,0.154,0.00038909672444811805,776,0.153,0.0,1740,0.121,-0.03208614764782558,51,0.196,0.04272791590863148
Consolidation,3859,0.134,-0.00930654576676862,2539,0.133,-0.009896666139281363,939,0.152,0.009269726841611814,1755,0.143,0.0,55,0.2,0.05698005698005698
Pneumonia,1864,0.307,0.0,1340,0.273,-0.03373262443149061,596,0.27,-0.036732724601780065,802,0.347,0.03976646366915332,28,0.5,0.19313304721030045
Atelectasis,4480,0.081,-0.016118542490353924,2999,0.097,0.0,1021,0.099,0.002223725244359931,2076,0.08,-0.016255739710282366,70,0.129,0.03187252893821749
Pneumothorax,892,0.396,0.00019673482643611795,628,0.389,-0.007008143640331421,359,0.396,0.0,226,0.522,0.12658071831784456,29,0.241,-0.1541638651426376
Pleural Effusion,3771,0.137,-0.003015090750637356,2479,0.14,0.0,793,0.156,0.015989036786687866,1770,0.138,-0.0019611060592593654,59,0.153,0.012163187726051378
Pleural Other,945,0.365,-0.0805728088336784,709,0.382,-0.06342368308088547,257,0.455,0.009600744374894277,460,0.446,0.0,15,0.6,0.15434782608695652
Fracture,2191,0.232,-0.03751649660784878,1475,0.27,0.0,612,0.292,0.022653151656142678,1126,0.25,-0.01938645874100614,39,0.333,0.06350282485875702
Support Devices,4613,0.062,-4.3475171078978525e-05,3630,0.062,0.0,1428,0.076,0.014071579044841083,1747,0.111,0.048788556849128216,107,0.019,-0.04356736438299735
No Finding,1022,0.234,0.07361525446182274,1167,0.16,0.0,640,0.111,-0.049302431448157685,350,0.374,0.2140457828375566,41,0.122,-0.03828871193596256
