diseases,Auc_White,Gap_White,Auc_Black,Gap_Black,Auc_Hisp,Gap_Hisp,Auc_Other,Gap_Other,Auc_Asian,Gap_Asian,Auc_American,Gap_American
Enlarged Cardiomediastinum,0.738,-0.029000000000000026,0.805,0.038000000000000034,0.767,0.0,0.683,-0.08399999999999996,0.86,0.09299999999999997,,
Cardiomegaly,0.801,-0.012499999999999956,0.846,0.03249999999999997,0.816,0.0024999999999999467,0.822,0.008499999999999952,0.811,-0.0024999999999999467,0.758,-0.055499999999999994
Lung Opacity,0.766,-0.010000000000000009,0.795,0.019000000000000017,0.806,0.030000000000000027,0.752,-0.02400000000000002,0.786,0.010000000000000009,0.581,-0.19500000000000006
Lung Lesion,0.746,-0.040000000000000036,0.786,0.0,0.919,0.133,0.832,0.04599999999999993,0.767,-0.019000000000000017,,
Edema,0.878,-0.0014999999999999458,0.91,0.030500000000000083,0.873,-0.00649999999999995,0.932,0.0525000000000001,0.881,0.0015000000000000568,0.867,-0.012499999999999956
Consolidation,0.82,-0.014000000000000012,0.86,0.026000000000000023,0.834,0.0,0.834,0.0,0.893,0.05900000000000005,,
Pneumonia,0.737,-0.007000000000000006,0.751,0.007000000000000006,0.802,0.05800000000000005,0.729,-0.015000000000000013,0.824,0.07999999999999996,0.606,-0.138
Atelectasis,0.811,-0.015499999999999958,0.842,0.015499999999999958,0.872,0.045499999999999985,0.767,-0.0595,0.872,0.045499999999999985,0.772,-0.05449999999999999
Pneumothorax,0.884,0.0,0.895,0.01100000000000001,0.9,0.016000000000000014,0.882,-0.0020000000000000018,0.878,-0.006000000000000005,,
Pleural Effusion,0.92,-0.013000000000000012,0.938,0.004999999999999893,0.917,-0.016000000000000014,0.938,0.004999999999999893,0.937,0.0040000000000000036,0.929,-0.0040000000000000036
Pleural Other,0.825,0.0,0.793,-0.03199999999999992,0.865,0.040000000000000036,0.822,-0.0030000000000000027,0.923,0.09800000000000009,,
Fracture,0.716,0.010499999999999954,0.682,-0.023499999999999965,0.695,-0.010500000000000065,0.84,0.13449999999999995,0.833,0.12749999999999995,0.491,-0.21450000000000002
Support Devices,0.913,-0.01750000000000007,0.937,0.00649999999999995,0.954,0.023499999999999854,0.923,-0.007500000000000062,0.924,-0.006500000000000061,0.951,0.02049999999999985
