diseases,Auc_White,Gap_White,Auc_Black,Gap_Black,Auc_Hisp,Gap_Hisp,Auc_Other,Gap_Other,Auc_Asian,Gap_Asian,Auc_American,Gap_American
Enlarged Cardiomediastinum,0.744,-0.02200000000000002,0.791,0.025000000000000022,0.766,0.0,0.684,-0.08199999999999996,0.839,0.07299999999999995,,
Cardiomegaly,0.796,-0.010499999999999954,0.84,0.033499999999999974,0.813,0.00649999999999995,0.822,0.015499999999999958,0.8,-0.00649999999999995,0.738,-0.0685
Lung Opacity,0.761,-0.015000000000000013,0.792,0.016000000000000014,0.792,0.016000000000000014,0.76,-0.016000000000000014,0.791,0.015000000000000013,0.704,-0.07200000000000006
Lung Lesion,0.747,-0.019000000000000017,0.758,-0.008000000000000007,0.876,0.10999999999999999,0.83,0.06399999999999995,0.766,0.0,,
Edema,0.873,-0.0050000000000000044,0.904,0.026000000000000023,0.873,-0.0050000000000000044,0.927,0.049000000000000044,0.883,0.0050000000000000044,0.858,-0.020000000000000018
Consolidation,0.82,0.0,0.862,0.04200000000000004,0.816,-0.0040000000000000036,0.81,-0.009999999999999898,0.895,0.07500000000000007,,
Pneumonia,0.724,-0.007000000000000006,0.738,0.007000000000000006,0.791,0.06000000000000005,0.697,-0.03400000000000003,0.824,0.09299999999999997,0.423,-0.308
Atelectasis,0.808,-0.014499999999999957,0.837,0.014499999999999957,0.863,0.04049999999999998,0.772,-0.05049999999999999,0.865,0.04249999999999998,0.789,-0.033499999999999974
Pneumothorax,0.884,0.0,0.893,0.009000000000000008,0.894,0.010000000000000009,0.878,-0.006000000000000005,0.87,-0.014000000000000012,,
Pleural Effusion,0.918,-0.018000000000000016,0.936,0.0,0.911,-0.025000000000000022,0.936,0.0,0.94,0.0039999999999998925,0.947,0.010999999999999899
Pleural Other,0.835,0.0,0.828,-0.007000000000000006,0.741,-0.09399999999999997,0.898,0.06300000000000006,0.887,0.052000000000000046,,
Fracture,0.72,0.024499999999999966,0.715,0.019499999999999962,0.676,-0.019499999999999962,0.835,0.13949999999999996,0.655,-0.04049999999999998,0.566,-0.12950000000000006
Support Devices,0.911,-0.02100000000000002,0.934,0.0020000000000000018,0.957,0.02499999999999991,0.915,-0.017000000000000015,0.93,-0.0020000000000000018,0.986,0.05399999999999994
