diseases,Auc_White,Gap_White,Auc_Black,Gap_Black,Auc_Hisp,Gap_Hisp,Auc_Other,Gap_Other,Auc_Asian,Gap_Asian,Auc_American,Gap_American
Enlarged Cardiomediastinum,0.741,-0.038000000000000034,0.804,0.025000000000000022,0.779,0.0,0.664,-0.11499999999999999,0.816,0.03699999999999992,,
Cardiomegaly,0.797,-0.011499999999999955,0.845,0.03649999999999998,0.81,0.0015000000000000568,0.823,0.014499999999999957,0.807,-0.0014999999999999458,0.709,-0.09950000000000003
Lung Opacity,0.763,-0.015000000000000013,0.796,0.018000000000000016,0.802,0.02400000000000002,0.752,-0.026000000000000023,0.793,0.015000000000000013,0.636,-0.14200000000000002
Lung Lesion,0.75,-0.04300000000000004,0.793,0.0,0.811,0.018000000000000016,0.823,0.029999999999999916,0.787,-0.006000000000000005,,
Edema,0.878,-0.007000000000000006,0.909,0.02400000000000002,0.879,-0.006000000000000005,0.93,0.04500000000000004,0.891,0.006000000000000005,0.865,-0.020000000000000018
Consolidation,0.82,-0.0040000000000000036,0.865,0.041000000000000036,0.824,0.0,0.79,-0.03399999999999992,0.889,0.06500000000000006,,
Pneumonia,0.72,-0.011500000000000066,0.743,0.011499999999999955,0.763,0.03149999999999997,0.693,-0.03850000000000009,0.815,0.08349999999999991,0.26,-0.47150000000000003
Atelectasis,0.81,-0.01200000000000001,0.834,0.0119999999999999,0.87,0.04799999999999993,0.779,-0.04300000000000004,0.873,0.050999999999999934,0.784,-0.038000000000000034
Pneumothorax,0.884,-0.0010000000000000009,0.896,0.01100000000000001,0.906,0.02100000000000002,0.852,-0.03300000000000003,0.885,0.0,,
Pleural Effusion,0.918,-0.01749999999999996,0.938,0.0024999999999999467,0.919,-0.01649999999999996,0.933,-0.0024999999999999467,0.94,0.0044999999999999485,0.945,0.009499999999999953
Pleural Other,0.824,-0.015000000000000013,0.781,-0.05799999999999994,0.839,0.0,0.859,0.020000000000000018,0.891,0.052000000000000046,,
Fracture,0.715,0.0655,0.648,-0.0014999999999999458,0.615,-0.034499999999999975,0.848,0.1985,0.651,0.0015000000000000568,0.396,-0.25349999999999995
Support Devices,0.912,-0.010000000000000009,0.937,0.015000000000000013,0.959,0.03699999999999992,0.922,0.0,0.922,0.0,0.917,-0.0050000000000000044
