,diseases,%60-80,Gap_60-80,%40-60,Gap_40-60,%20-40,Gap_20-40,%80+,Gap_80+,%0-20,Gap_0-20
0,Enlarged Cardiomediastinum,0.4148148148148148,0.011897959183673479,0.37671957671957673,-0.08183054345333637,0.13227513227513227,-0.011897959183673451,0,,0.009523809523809525,0.21654648526077097
1,Cardiomegaly,0.4254942935219418,0.07012320066317068,0.33788779938916574,-0.011721963080715492,0.1186304452660344,0.011721963080715492,0,,0.006429834431763382,-0.2947143512824281
2,Lung Opacity,0.40417690417690416,0.09275978577026989,0.36049686049686047,0.02758306776217756,0.12257712257712258,-0.02758306776217756,0,,0.007644007644007644,-0.14343575627633603
3,Lung Lesion,0.423728813559322,0.0414007014007014,0.3832391713747646,0.033642033642033636,0.1167608286252354,-0.07458496168173588,0,,0.01224105461393597,-0.033642033642033636
4,Edema,0.44324324324324327,0.024140636143203498,0.3211948790896159,0.037483012585941444,0.0972972972972973,-0.024140636143203498,0,,0.001422475106685633,-0.3913920981315076
5,Consolidation,0.4088669950738916,-0.057021910033958234,0.36875439831104856,-0.11047344791941502,0.1301900070372977,0.057021910033958234,0,,0.00844475721323012,0.0790939821060303
6,Pneumonia,0.3877143996808935,-0.11852051564403515,0.362983645791783,-0.04422937468622751,0.15715995213402473,0.04422937468622745,0,,0.016753091344236137,0.04990981945296663
7,Atelectasis,0.4519856770833333,0.051296364304529884,0.3497721354166667,0.005934216649114643,0.10823567708333333,-0.005934216649114643,0,,0.005533854166666667,-0.3743110410630907
8,Pneumothorax,0.3153526970954357,-0.06898720905850286,0.34716459197787,-0.009960159362549792,0.24343015214384509,0.10655106845345885,0,,0.029045643153526972,0.009960159362549792
9,Pleural Effusion,0.4737283398546674,0.08997576361028625,0.31512017887087757,0.038827544968003336,0.08342649524874231,-0.038827544968003336,0,,0.006567915036333147,-0.13437621028038083
10,Pleural Other,0.4375,0.0,0.41776315789473684,0.019596234681191205,0.039473684210526314,-0.16478696741854637,0,,0.0,
11,Fracture,0.3107142857142857,0.07888727071523277,0.4369047619047619,0.052338782924614,0.14642857142857144,-0.07063146585144324,0,,0.014285714285714285,-0.05233878292461398
12,Support Devices,0.3891990133714137,0.015375006518907997,0.36699987018044916,-0.015375006518907885,0.15643255874334674,0.028060918842199523,0,,0.008568090354407374,-0.02038620802816382
13,No Finding,0.231422199841738,-0.23393322458707977,0.3905474426300266,-0.05380392324296446,0.3022804114811884,0.05380392324296457,0,,0.0397093734263722,0.08559606501120465
