,diseases,%60-80,Gap_60-80,%40-60,Gap_40-60,%20-40,Gap_20-40,%80+,Gap_80+,%0-20,Gap_0-20
0,Enlarged Cardiomediastinum,0.4148148148148148,0.0012346938775510408,0.37671957671957673,-0.1034144691584499,0.13227513227513227,-0.0012346938775510408,0,,0.009523809523809525,0.25832086167800455
1,Cardiomegaly,0.4254942935219418,0.04981989074228543,0.33788779938916574,-0.00460072869044581,0.1186304452660344,0.00460072869044581,0,,0.006429834431763382,-0.3173504908217493
2,Lung Opacity,0.40417690417690416,0.08055619131752578,0.36049686049686047,0.01604558575622217,0.12257712257712258,-0.01604558575622206,0,,0.007644007644007644,-0.13301186001648296
3,Lung Lesion,0.423728813559322,0.06244902244902245,0.3832391713747646,0.04592704592704591,0.1167608286252354,-0.07074094170868367,0,,0.01224105461393597,-0.04592704592704594
4,Edema,0.44324324324324327,0.004528597917558108,0.3211948790896159,0.016073912195930462,0.0972972972972973,-0.004528597917558108,0,,0.001422475106685633,-0.2039438025959207
5,Consolidation,0.4088669950738916,-0.03105278255880667,0.36875439831104856,-0.04591922761931039,0.1301900070372977,0.12249422400024812,0,,0.00844475721323012,0.03105278255880667
6,Pneumonia,0.3877143996808935,-0.10047512075148851,0.362983645791783,-0.02571819043900264,0.15715995213402473,0.02571819043900264,0,,0.016753091344236137,0.07647961175879958
7,Atelectasis,0.4519856770833333,0.05564086160431159,0.3497721354166667,0.01554701084959953,0.10823567708333333,-0.01554701084959964,0,,0.005533854166666667,-0.2806509471609662
8,Pneumothorax,0.3153526970954357,-0.10786092075080855,0.34716459197787,-0.07151507605939872,0.24343015214384509,0.07151507605939877,0,,0.029045643153526972,0.12522178601610878
9,Pleural Effusion,0.4737283398546674,0.08731301794112067,0.31512017887087757,0.034515890613451616,0.08342649524874231,-0.034515890613451616,0,,0.006567915036333147,-0.1479910679184161
10,Pleural Other,0.4375,0.045171985080812244,0.41776315789473684,0.0,0.039473684210526314,-0.16535433070866143,0,,0.0,
11,Fracture,0.3107142857142857,-0.005668827711484831,0.4369047619047619,0.005668827711484858,0.14642857142857144,-0.0737933020596766,0,,0.014285714285714285,0.09490588493219332
12,Support Devices,0.3891990133714137,0.02100612638252386,0.36699987018044916,-0.010092073030219861,0.15643255874334674,0.010092073030219861,0,,0.008568090354407374,-0.08608547003528999
13,No Finding,0.231422199841738,-0.21509000943800394,0.3905474426300266,-0.04898387991438791,0.3022804114811884,0.04898387991438791,0,,0.0397093734263722,0.07724509438092897
