diseases,#60-80,FPR_60-80,Gap_60-80,#40-60,FPR_40-60,Gap_40-60,#20-40,FPR_20-40,Gap_20-40,#80-,FPR_80-,Gap_80-,#0-20,FPR_0-20,Gap_0-20
Enlarged Cardiomediastinum,2417,0.302,0.09328023720866088,2496,0.208,0.0,1243,0.187,-0.02168812013944757,783,0.405,0.19651979565772668,87,0.149,-0.05890804597701149
Cardiomegaly,3189,0.34,0.09738600220726279,3080,0.243,0.0,1499,0.209,-0.033726596952080606,1089,0.459,0.21660435524071886,98,0.133,-0.10987940630797774
Lung Opacity,2141,0.319,0.11394856966392722,2243,0.206,0.0,1084,0.187,-0.018258937604980152,848,0.435,0.22961319913525516,79,0.165,-0.040971348273390634
Lung Lesion,6444,0.11,0.01702518570517049,5157,0.093,0.0,2008,0.107,0.013606520205777628,3012,0.091,-0.0021637321182595565,143,0.07,-0.023535123011562797
Edema,4170,0.225,0.033875508289020945,3771,0.158,-0.03378644806475045,1661,0.158,-0.033568044394419294,1643,0.291,0.09962687554579375,115,0.191,0.0
Consolidation,3689,0.272,0.09409135314875158,3398,0.178,0.0,1498,0.167,-0.011451014536941945,1628,0.287,0.10851483673732057,111,0.135,-0.04320506498258117
Pneumonia,5684,0.169,0.02873853094404144,4597,0.128,-0.012992437620501396,1841,0.141,0.0,2581,0.177,0.036378743169962396,138,0.123,-0.017496004849286387
Atelectasis,3068,0.312,0.09545580413287028,2938,0.216,0.0,1416,0.185,-0.03144554310746003,1307,0.353,0.13624235214582628,96,0.135,-0.08105712502836399
Pneumothorax,6656,0.072,0.0,5309,0.059,-0.013385374029224684,2078,0.081,0.008881824007921812,3157,0.042,-0.02983654112655637,137,0.146,0.07402025722908477
Pleural Effusion,3777,0.264,0.09421480933959506,3458,0.17,0.0,1644,0.151,-0.01829144731565016,1613,0.296,0.1259709553343514,107,0.093,-0.07629335740501507
Pleural Other,6603,0.071,0.009054334232393733,5228,0.062,0.0,2180,0.048,-0.014267564209654436,2923,0.075,0.012949038062109834,151,0.0,-0.06197398622800306
Fracture,5357,0.125,0.02460935761939953,4462,0.092,-0.007938696941601223,1825,0.1,0.0,2257,0.177,0.07650936811502722,127,0.079,-0.021533815122424763
Support Devices,2935,0.274,0.0368307993817793,2307,0.237,0.0,1009,0.232,-0.005191679737155369,1636,0.257,0.01961925170868295,59,0.203,-0.03371463416426057
No Finding,6526,0.062,-0.0064375942448557655,4770,0.068,0.0,1797,0.081,0.012902706467452743,3033,0.074,0.005840160747500753,125,0.064,-0.004343815513626836
