diseases,#60-80,FPR_60-80,Gap_60-80,#40-60,FPR_40-60,Gap_40-60,#20-40,FPR_20-40,Gap_20-40,#80-,FPR_80-,Gap_80-,#0-20,FPR_0-20,Gap_0-20
Enlarged Cardiomediastinum,2417,0.333,0.08546135546290695,2496,0.248,0.0,1243,0.179,-0.068995992945108,783,0.506,0.2581509725906278,87,0.172,-0.07518236074270557
Cardiomegaly,3189,0.396,0.1044793791971591,3080,0.292,0.0,1499,0.223,-0.0684007953354184,1089,0.535,0.2434704184704185,98,0.173,-0.11841372912801482
Lung Opacity,2141,0.29,0.09966009774974843,2243,0.19,0.0,1084,0.148,-0.042322732634370475,848,0.44,0.24993428191690714,79,0.19,-5.0790927611621406e-05
Lung Lesion,6444,0.099,0.013526279735187136,5157,0.083,-0.002137465264016647,2008,0.102,0.016268260292164688,3012,0.085,0.0,143,0.042,-0.04336732324780133
Edema,4170,0.237,0.045865915962881865,3771,0.172,-0.019201457346108175,1661,0.149,-0.04199670182969925,1643,0.302,0.11058244462674321,115,0.191,0.0
Consolidation,3689,0.263,0.08691158401502583,3398,0.177,0.0,1498,0.142,-0.03438486944727559,1628,0.285,0.10843782945018968,111,0.135,-0.04143932042696022
Pneumonia,5684,0.184,0.039186777372546,4597,0.14,-0.004395328082209327,1841,0.144,0.0,2581,0.199,0.05427347846135036,138,0.072,-0.07202292389926708
Atelectasis,3068,0.325,0.09521927749766357,2938,0.23,0.0,1416,0.18,-0.04966338221550462,1307,0.399,0.16887467232782788,96,0.188,-0.042248127978216476
Pneumothorax,6656,0.085,0.003888608684385883,5309,0.079,-0.0017360245581485717,2078,0.081,0.0,3157,0.052,-0.028898916290639093,137,0.102,0.021342812783206766
Pleural Effusion,3777,0.282,0.09860242039080719,3458,0.184,0.0,1644,0.167,-0.01696549064970118,1613,0.342,0.15858730951562222,107,0.131,-0.05279103582104075
Pleural Other,6603,0.095,0.013775415199856408,5228,0.081,0.0,2180,0.059,-0.0227687188954325,2923,0.101,0.019439393292937493,151,0.0,-0.08148431522570773
Fracture,5357,0.172,0.045673096030805244,4462,0.127,0.0,1825,0.11,-0.01703579081804954,2257,0.229,0.10199723277369852,127,0.047,-0.07938073742575097
Support Devices,2935,0.253,0.03281263534778969,2307,0.208,-0.011843100952884739,1009,0.193,-0.0270783289378643,1636,0.252,0.03210600472421368,59,0.22,0.0
No Finding,6526,0.064,-0.028514164596251335,4770,0.093,0.0,1797,0.117,0.024545801353058727,3033,0.064,-0.02923875109642983,125,0.104,0.01112788259958071
