diseases,#60-80,FPR_60-80,Gap_60-80,#40-60,FPR_40-60,Gap_40-60,#20-40,FPR_20-40,Gap_20-40,#80-,FPR_80-,Gap_80-,#0-20,FPR_0-20,Gap_0-20
Enlarged Cardiomediastinum,2417,0.285,0.08192603407487559,2496,0.203,0.0,1243,0.159,-0.04343232357612889,783,0.437,0.23405725022104334,87,0.126,-0.07628757736516356
Cardiomegaly,3189,0.346,0.09848495029586282,3080,0.247,0.0,1499,0.196,-0.05094716824203149,1089,0.465,0.21756854256854255,98,0.122,-0.12462894248608536
Lung Opacity,2141,0.311,0.09528715940797078,2243,0.216,0.0,1084,0.182,-0.03404811689668388,848,0.434,0.2181798299110861,79,0.19,-0.025909016518338324
Lung Lesion,6444,0.09,0.016319955627920185,5157,0.074,0.0,2008,0.087,0.013465142725587867,3012,0.073,-0.0003130777259393591,143,0.056,-0.017742195752666952
Edema,4170,0.276,0.07553956834532372,3771,0.194,-0.005621850967913039,1661,0.17,-0.030222757375075265,1643,0.365,0.16457699330492997,115,0.2,0.0
Consolidation,3689,0.274,0.08987842417150652,3398,0.184,0.0,1498,0.168,-0.016080691461481694,1628,0.286,0.10260335245620708,111,0.162,-0.021475271622416997
Pneumonia,5684,0.145,0.02193620571049032,4597,0.12,-0.003564813296949132,1841,0.13,0.006612690700710355,2581,0.123,0.0,138,0.094,-0.029005160341177727
Atelectasis,3068,0.287,0.08804271324895294,2938,0.199,0.0,1416,0.174,-0.025386230688465572,1307,0.326,0.1268222166550433,96,0.167,-0.03244837758112096
Pneumothorax,6656,0.065,0.0,5309,0.061,-0.0033865637270527604,2078,0.093,0.028755633652920706,3157,0.037,-0.027859621323798156,137,0.131,0.06678349592925323
Pleural Effusion,3777,0.251,0.08700081602552234,3458,0.164,0.0,1644,0.156,-0.008539034278565588,1613,0.278,0.11410650236636466,107,0.112,-0.052107263125462835
Pleural Other,6603,0.076,0.009668110269588331,5228,0.072,0.006056660325838986,2180,0.066,0.0,2923,0.063,-0.0034481351633831037,151,0.04,-0.02631994653381129
Fracture,5357,0.157,0.0,4462,0.136,-0.021588102950039517,1825,0.167,0.009945762937239977,2257,0.165,0.007643033529188298,127,0.15,-0.00757122552139447
Support Devices,2935,0.257,0.03690122137845406,2307,0.199,-0.020945831772130497,1009,0.175,-0.04491777393290891,1636,0.283,0.06266835191247774,59,0.22,0.0
No Finding,6526,0.046,-0.008278383081839882,4770,0.059,0.004717914263852339,1797,0.074,0.019610660035106316,3033,0.054,0.0,125,0.048,-0.006401582591493572
