diseases,#60-80,FPR_60-80,Gap_60-80,#40-60,FPR_40-60,Gap_40-60,#20-40,FPR_20-40,Gap_20-40,#80-,FPR_80-,Gap_80-,#0-20,FPR_0-20,Gap_0-20
Enlarged Cardiomediastinum,2417,0.271,0.07748748846312972,2496,0.194,0.0,1243,0.158,-0.035022085215669296,783,0.391,0.19729498231653406,87,0.149,-0.04408432802829354
Cardiomegaly,3189,0.348,0.09969487239007466,3080,0.248,0.0,1499,0.199,-0.04957742391031253,1089,0.442,0.19331300013118194,98,0.102,-0.14633580705009278
Lung Opacity,2141,0.32,0.09301573029215598,2243,0.227,0.0,1084,0.179,-0.047961431464515286,848,0.456,0.22943970339588993,79,0.215,-0.011738347714690428
Lung Lesion,6444,0.097,0.01566320334783876,5157,0.082,0.0,2008,0.098,0.01647095928869359,3012,0.075,-0.006271404589128449,143,0.063,-0.018699547495359
Edema,4170,0.237,0.045865915962881865,3771,0.165,-0.026096180231284516,1661,0.151,-0.04019056095071069,1643,0.295,0.10388737463282965,115,0.191,0.0
Consolidation,3689,0.262,0.07731606189343915,3398,0.185,0.0,1498,0.164,-0.021263194952500925,1628,0.276,0.0915981795911166,111,0.18,-0.004634416641479622
Pneumonia,5684,0.159,0.030675794639345194,4597,0.126,-0.002021959625323033,1841,0.128,0.0,2581,0.151,0.023300469460842965,138,0.123,-0.005002794637444977
Atelectasis,3068,0.296,0.08084595770211489,2938,0.215,0.0,1416,0.189,-0.02584678458384773,1307,0.34,0.12459693653537557,96,0.188,-0.027612321307011578
Pneumothorax,6656,0.09,0.0,5309,0.085,-0.00436670607422808,2078,0.113,0.022914767574220785,3157,0.054,-0.03521140635279354,137,0.131,0.04169335169848401
Pleural Effusion,3777,0.222,0.06742026141298746,3458,0.155,0.0,1644,0.136,-0.01846066598275589,1613,0.255,0.10071096717424252,107,0.112,-0.04256417463500593
Pleural Other,6603,0.094,0.015241732995400645,5228,0.079,0.0,2180,0.071,-0.007705509500712457,2923,0.098,0.019380367457420916,151,0.026,-0.05231636070673956
Fracture,5357,0.144,0.027384169658837693,4462,0.117,0.0,1825,0.112,-0.004210901186887148,2257,0.201,0.08461230333360012,127,0.094,-0.022051479333796864
Support Devices,2935,0.24,0.03396861193508535,2307,0.206,0.0,1009,0.186,-0.019572009693426706,1636,0.224,0.018432526497965673,59,0.186,-0.019454423897790812
No Finding,6526,0.055,-0.000989273674532637,4770,0.067,0.011085953878406711,1797,0.092,0.03581969949916527,3033,0.056,-0.000279591163864161,125,0.056,0.0
