diseases,#60-80,FNR_60-80,Gap_60-80,#40-60,FNR_40-60,Gap_40-60,#20-40,FNR_20-40,Gap_20-40,#80-,FNR_80-,Gap_80-,#0-20,FNR_0-20,Gap_0-20
Enlarged Cardiomediastinum,434,0.8,-0.003456221198156695,310,0.806,0.003456221198156584,138,0.717,-0.08560408735724312,,,,11,1.0,0.19700460829493083
Cardiomegaly,1078,0.427,0.005526745199722849,664,0.416,-0.005526745199722793,301,0.442,0.02067106931414664,,,,14,0.286,-0.13547511008784674
Lung Opacity,4317,0.098,-0.06978082225215378,3071,0.145,-0.022999251629562345,1140,0.191,0.022999251629562345,,,,84,0.202,0.03415213383507612
Lung Lesion,378,0.712,-0.13534858387799564,238,0.777,-0.06967787114845936,120,0.917,0.06967787114845936,,,,1,1.0,0.15301120448179273
Edema,2212,0.272,-0.04731954265338256,1408,0.323,0.0036819677033493314,426,0.35,0.030293816828402653,,,,38,0.316,-0.003681967703349276
Consolidation,533,0.623,0.048783440293960645,466,0.582,0.0074391988555079225,180,0.567,-0.0074391988555078115,,,,21,0.238,-0.3360106274269364
Pneumonia,228,0.732,0.055417259364627824,172,0.808,0.1311006538974716,74,0.622,-0.05541725936462771,,,,13,0.385,-0.2924234963708647
Atelectasis,1395,0.378,-0.045519713261648775,1085,0.355,-0.06917562724014337,279,0.47,0.04551971326164872,,,,27,0.63,0.2056152927120669
Pneumothorax,806,0.452,0.042333062257160936,557,0.467,0.05750651450711752,357,0.367,-0.042333062257160936,,,,30,0.333,-0.07594650763531219
Pleural Effusion,3698,0.124,-0.043533894909733056,2626,0.139,-0.027738732583665604,816,0.195,0.027738732583665604,,,,64,0.281,0.11413579140719501
Pleural Other,113,0.832,-0.039199001588382076,78,0.91,0.03919900158838219,50,0.56,-0.311057408668028,,,,3,1.0,0.12894259133197195
Fracture,325,0.84,0.1523361873143455,291,0.68,-0.007251441551633819,118,0.695,0.007251441551633708,,,,6,0.667,-0.020997146018987833
Support Devices,4561,0.127,0.025555102283331618,3697,0.102,0.0007518417955738321,1497,0.1,-0.0007518417955738321,,,,118,0.042,-0.05857936124124484
No Finding,624,0.47,0.209930729541339,886,0.257,-0.0022842093948188813,595,0.15,-0.11004072057716993,,,,42,0.262,0.0022842093948188813
