diseases,#60-80,FNR_60-80,Gap_60-80,#40-60,FNR_40-60,Gap_40-60,#20-40,FNR_20-40,Gap_20-40,#80-,FNR_80-,Gap_80-,#0-20,FNR_0-20,Gap_0-20
Enlarged Cardiomediastinum,434,0.882,0.01382488479262678,310,0.855,-0.013824884792626668,138,0.819,-0.04982301475990114,,,,11,1.0,0.13133640552995396
Cardiomegaly,1078,0.417,0.012472897154480633,664,0.392,-0.012472897154480633,301,0.422,0.01788774808428173,,,,14,0.286,-0.11832487650043588
Lung Opacity,4317,0.097,-0.06280078137497573,3071,0.142,-0.018211251835221404,1140,0.178,0.018211251835221404,,,,84,0.226,0.0663315525871011
Lung Lesion,378,0.688,-0.1049214130096483,238,0.761,-0.03224789915966386,120,0.825,0.03224789915966386,,,,1,1.0,0.2072478991596639
Edema,2212,0.251,-0.059237361780458075,1408,0.305,-0.005195873205741608,426,0.347,0.03682423989711797,,,,38,0.316,0.005195873205741608
Consolidation,533,0.595,0.06811343105177503,466,0.564,0.03774439675727226,180,0.489,-0.037744396757272314,,,,21,0.286,-0.2409189999318755
Pneumonia,228,0.763,0.057254623044096786,172,0.837,0.13130603063283608,74,0.649,-0.057254623044096675,,,,13,0.385,-0.3212878870773607
Atelectasis,1395,0.394,-0.014695340501792109,1085,0.341,-0.06722990271377366,279,0.423,0.014695340501792109,,,,27,0.556,0.14731182795698927
Pneumothorax,806,0.433,0.016501240694789032,557,0.438,0.02155980059785001,357,0.359,-0.05795782332784233,,,,30,0.4,-0.016501240694789088
Pleural Effusion,3698,0.135,-0.0337269562289135,2626,0.145,-0.023466783895584153,816,0.192,0.023466783895584126,,,,64,0.234,0.06543982311127039
Pleural Other,113,0.735,-0.042999773088268634,78,0.821,0.042999773088268634,50,0.52,-0.25751304742455183,,,,3,1.0,0.22248695257544815
Fracture,325,0.828,0.14449876118406613,291,0.646,-0.037145436542605825,118,0.72,0.037145436542605825,,,,6,0.333,-0.3498602131749083
Support Devices,4561,0.117,0.022852529434228372,3697,0.097,0.0029299424744358427,1497,0.092,-0.0029299424744358427,,,,118,0.042,-0.0520734271839679
No Finding,624,0.519,0.22056367259527532,886,0.288,-0.010856712888315634,595,0.182,-0.11715449159347716,,,,42,0.31,0.010856712888315578
