diseases,#60-80,FNR_60-80,Gap_60-80,#40-60,FNR_40-60,Gap_40-60,#20-40,FNR_20-40,Gap_20-40,#80-,FNR_80-,Gap_80-,#0-20,FNR_0-20,Gap_0-20
Enlarged Cardiomediastinum,434,0.853,-0.0012689507780672127,310,0.823,-0.031222867828758383,138,0.855,0.0012689507780672127,,,,11,1.0,0.14619648700995125
Cardiomegaly,1078,0.406,0.005864832241768536,664,0.395,-0.005864832241768536,301,0.452,0.051384097030136355,,,,14,0.357,-0.043300288351923455
Lung Opacity,4317,0.121,-0.04342539529813992,3071,0.15,-0.014228729590175376,1140,0.182,0.018113441369624006,,,,84,0.179,0.014228729590175376
Lung Lesion,378,0.661,-0.12500389044506688,238,0.731,-0.0552871148459384,120,0.842,0.0552871148459384,,,,1,1.0,0.21362044817927173
Edema,2212,0.27,-0.0678613117620182,1408,0.32,-0.01860261950490827,426,0.357,0.018602619504908213,,,,38,0.368,0.03021616039939795
Consolidation,533,0.683,0.08824394896309484,466,0.612,0.01690510252742017,180,0.578,-0.01690510252742017,,,,21,0.286,-0.3089685945909122
Pneumonia,228,0.794,0.09963252726410621,172,0.826,0.1313542734901364,74,0.595,-0.09963252726410621,,,,13,0.538,-0.1557655833971624
Atelectasis,1395,0.441,0.01254480286738352,1085,0.391,-0.03753200204813106,279,0.416,-0.01254480286738352,,,,27,0.556,0.12724014336917566
Pneumothorax,806,0.44,0.017142092569037537,557,0.478,0.05425379073940251,357,0.406,-0.017142092569037537,,,,30,0.4,-0.023304557555031913
Pleural Effusion,3698,0.154,-0.03257135783807122,2626,0.158,-0.02802247136478353,816,0.214,0.02802247136478353,,,,64,0.266,0.07918668705105805
Pleural Other,113,0.805,-0.026832312230542277,78,0.859,0.026832312230542277,50,0.56,-0.2721420467438166,,,,3,1.0,0.16785795325618336
Fracture,325,0.815,0.09841395717684376,291,0.619,-0.09841395717684376,118,0.856,0.13896154518205894,,,,6,0.167,-0.550303991541105
Support Devices,4561,0.112,0.024323931002806623,3697,0.092,0.003763816515909832,1497,0.084,-0.003763816515909832,,,,118,0.068,-0.020135543019765
No Finding,624,0.505,0.20952660018687108,886,0.281,-0.01424271740298827,595,0.176,-0.11881050388552708,,,,42,0.31,0.014242717402988325
