diseases,#60-80,FNR_60-80,Gap_60-80,#40-60,FNR_40-60,Gap_40-60,#20-40,FNR_20-40,Gap_20-40,#80-,FNR_80-,Gap_80-,#0-20,FNR_0-20,Gap_0-20
Enlarged Cardiomediastinum,434,0.836,0.005299539170506851,310,0.826,-0.005299539170506962,138,0.783,-0.04849729513123624,,,,11,1.0,0.1688940092165898
Cardiomegaly,1078,0.442,0.020637215124466424,664,0.407,-0.014294720409878725,301,0.435,0.014294720409878725,,,,14,0.286,-0.13520694071968942
Lung Opacity,4317,0.107,-0.06282061323722794,3071,0.144,-0.02600630116483002,1140,0.196,0.02600630116483002,,,,84,0.214,0.044677980362825
Lung Lesion,378,0.69,-0.12941176470588234,238,0.773,-0.04677871148459378,120,0.867,0.04677871148459389,,,,1,1.0,0.1801120448179272
Edema,2212,0.301,-0.04507077888794214,1408,0.34,-0.005956906209987178,426,0.352,0.005956906209987178,,,,38,0.421,0.07489686173259652
Consolidation,533,0.717,0.07385101203273514,466,0.652,0.009513590844063002,180,0.633,-0.009513590844062891,,,,21,0.429,-0.21427549560596765
Pneumonia,228,0.746,0.02145566619250827,172,0.797,0.0723532590117657,74,0.703,-0.02145566619250827,,,,13,0.615,-0.1087737535105956
Atelectasis,1395,0.358,-0.02688172043010756,1085,0.326,-0.05903737839221712,279,0.412,0.026881720430107503,,,,27,0.593,0.20728793309438465
Pneumothorax,806,0.455,0.027667493796526055,557,0.494,0.06604884372591557,357,0.373,-0.05511847418868293,,,,30,0.4,-0.027667493796526055
Pleural Effusion,3698,0.146,-0.034930207274365827,2626,0.148,-0.03255062497199945,816,0.213,0.03255062497199945,,,,64,0.328,0.1474403308543524
Pleural Other,113,0.867,-0.03432039936464715,78,0.936,0.03432039936464715,50,0.52,-0.38157703653278874,,,,3,1.0,0.09842296346721124
Fracture,325,0.778,0.1192064857502565,291,0.615,-0.04413477779719255,118,0.703,0.04413477779719266,,,,6,0.5,-0.15925505271128193
Support Devices,4561,0.121,0.024551110333535978,3697,0.101,0.00495861437056784,1497,0.092,-0.00495861437056784,,,,118,0.059,-0.037152946537727015
No Finding,624,0.482,0.25333277520072106,886,0.244,0.014753305385359572,595,0.146,-0.08282053227611585,,,,42,0.214,-0.014753305385359572
