,diseases,%60-80,Gap_60-80,%40-60,Gap_40-60,%20-40,Gap_20-40,%80+,Gap_80+,%0-20,Gap_0-20
0,Enlarged Cardiomediastinum,0.4033457249070632,0.003456221198156667,0.28810408921933084,-0.003456221198156695,0.12825278810408922,0.08560408735724301,0,,0.010223048327137546,-0.19700460829493088
1,Cardiomegaly,0.40029706646862234,-0.005526745199722849,0.24656516895655403,0.005526745199722849,0.1117712588191608,-0.02067106931414664,0,,0.0051986632008912,0.13547511008784674
2,Lung Opacity,0.40711052433044137,0.06978082225215376,0.289607695209355,0.02299925162956229,0.10750660128253489,-0.0229992516295624,0,,0.007921539041870993,-0.03415213383507609
3,Lung Lesion,0.4209354120267261,0.13534858387799564,0.2650334075723831,0.06967787114845939,0.133630289532294,-0.0696778711484594,0,,0.0011135857461024498,-0.15301120448179273
4,Edema,0.42326827401454264,0.04731954265338256,0.26942212016838885,-0.003681967703349276,0.08151549942594719,-0.03029381682840271,0,,0.007271335629544585,0.003681967703349276
5,Consolidation,0.3643198906356801,-0.04878344029396059,0.31852358168147643,-0.007439198855507867,0.12303485987696514,0.007439198855507867,0,,0.014354066985645933,0.3360106274269364
6,Pneumonia,0.37254901960784315,-0.05541725936462777,0.28104575163398693,-0.1311006538974715,0.12091503267973856,0.055417259364627824,0,,0.021241830065359478,0.29242349637086484
7,Atelectasis,0.42081447963800905,0.04551971326164872,0.3273001508295626,0.06917562724014337,0.08416289592760182,-0.04551971326164872,0,,0.008144796380090498,-0.2056152927120669
8,Pneumothorax,0.41804979253112035,-0.042333062257160936,0.2889004149377593,-0.05750651450711741,0.18516597510373445,0.042333062257160936,0,,0.015560165975103735,0.07594650763531219
9,Pleural Effusion,0.4196073981618064,0.04353389490973303,0.2979689095654147,0.02773873258366566,0.09259049131964144,-0.02773873258366555,0,,0.007261999319187563,-0.11413579140719499
10,Pleural Other,0.36217948717948717,0.03919900158838213,0.25,-0.03919900158838212,0.16025641025641027,0.3110574086680281,0,,0.009615384615384616,-0.12894259133197186
11,Fracture,0.3442796610169492,-0.15233618731434564,0.3082627118644068,0.007251441551633708,0.125,-0.007251441551633764,0,,0.006355932203389831,0.020997146018987667
12,Support Devices,0.3989678096571029,-0.025555102283331577,0.32339048285514344,-0.0007518417955738599,0.1309482155353394,0.0007518417955738599,0,,0.010321903428971308,0.058579361241244854
13,No Finding,0.2733245729303548,-0.20993072954133907,0.38808585194918965,0.0022842093948188813,0.2606219886114761,0.11004072057716985,0,,0.018396846254927726,-0.0022842093948188813
