,diseases,%60-80,Gap_60-80,%40-60,Gap_40-60,%20-40,Gap_20-40,%80+,Gap_80+,%0-20,Gap_0-20
0,Enlarged Cardiomediastinum,0.4033457249070632,-0.013824884792626738,0.28810408921933084,0.013824884792626724,0.12825278810408922,0.04982301475990114,0,,0.010223048327137546,-0.13133640552995393
1,Cardiomegaly,0.40029706646862234,-0.012472897154480633,0.24656516895655403,0.012472897154480633,0.1117712588191608,-0.01788774808428173,0,,0.0051986632008912,0.11832487650043588
2,Lung Opacity,0.40711052433044137,0.0628007813749758,0.289607695209355,0.01821125183522143,0.10750660128253489,-0.01821125183522132,0,,0.007921539041870993,-0.066331552587101
3,Lung Lesion,0.4209354120267261,0.1049214130096483,0.2650334075723831,0.03224789915966389,0.133630289532294,-0.03224789915966386,0,,0.0011135857461024498,-0.20724789915966385
4,Edema,0.42326827401454264,0.05923736178045802,0.26942212016838885,0.005195873205741552,0.08151549942594719,-0.03682423989711803,0,,0.007271335629544585,-0.0051958732057416634
5,Consolidation,0.3643198906356801,-0.06811343105177503,0.31852358168147643,-0.037744396757272314,0.12303485987696514,0.03774439675727226,0,,0.014354066985645933,0.2409189999318755
6,Pneumonia,0.37254901960784315,-0.05725462304409676,0.28104575163398693,-0.13130603063283602,0.12091503267973856,0.05725462304409673,0,,0.021241830065359478,0.3212878870773608
7,Atelectasis,0.42081447963800905,0.014695340501792109,0.3273001508295626,0.06722990271377371,0.08416289592760182,-0.014695340501792109,0,,0.008144796380090498,-0.14731182795698927
8,Pneumothorax,0.41804979253112035,-0.016501240694789088,0.2889004149377593,-0.02155980059785001,0.18516597510373445,0.057957823327842384,0,,0.015560165975103735,0.016501240694789088
9,Pleural Effusion,0.4196073981618064,0.03372695622891353,0.2979689095654147,0.023466783895584098,0.09259049131964144,-0.023466783895584098,0,,0.007261999319187563,-0.06543982311127039
10,Pleural Other,0.36217948717948717,0.04299977308826869,0.25,-0.04299977308826866,0.16025641025641027,0.25751304742455183,0,,0.009615384615384616,-0.22248695257544815
11,Fracture,0.3442796610169492,-0.1444987611840661,0.3082627118644068,0.03714543654260588,0.125,-0.03714543654260588,0,,0.006355932203389831,0.34986021317490823
12,Support Devices,0.3989678096571029,-0.02285252943422833,0.32339048285514344,-0.002929942474435898,0.1309482155353394,0.002929942474435787,0,,0.010321903428971308,0.0520734271839679
13,No Finding,0.2733245729303548,-0.22056367259527526,0.38808585194918965,0.010856712888315578,0.2606219886114761,0.11715449159347713,0,,0.018396846254927726,-0.010856712888315578
