,Age,#,FPR,CI_FPR,FNR,CI_FNR
0,0-20,104.0,0.073,0.008,0.157,0.025
1,20-40,2016.0,0.068,0.004,0.152,0.011
2,40-60,5629.0,0.061,0.004,0.182,0.01
3,60-80,7455.0,0.048,0.004,0.231,0.017
4,80+,3402.0,0.049,0.008,0.402,0.028
