diseases,#60-80,FNR_60-80,Gap_60-80,#40-60,FNR_40-60,Gap_40-60,#20-40,FNR_20-40,Gap_20-40,#80-,FNR_80-,Gap_80-,#0-20,FNR_0-20,Gap_0-20
Enlarged Cardiomediastinum,5131,0.096,-0.024326946696352145,3441,0.121,0.0,1194,0.134,0.013398874640566966,2600,0.085,-0.03521986005856974,79,0.139,0.0186360308859288
Cardiomegaly,4359,0.08,-0.007941648786149016,2857,0.107,0.01887006115011633,938,0.125,0.036498181362097065,2294,0.077,-0.011513410944150981,68,0.088,0.0
Lung Opacity,5407,0.051,-0.01978170229711851,3694,0.071,0.0,1353,0.084,0.012321572986857487,2535,0.052,-0.019520006321888793,87,0.08,0.00926323519344821
Lung Lesion,1104,0.389,0.0,780,0.378,-0.011287625418060221,429,0.324,-0.06548342961386439,371,0.42,0.03099242157896792,23,0.652,0.26268115942028986
Edema,3378,0.141,-0.027435959254029252,2166,0.168,0.0,776,0.183,0.014937982503736263,1740,0.122,-0.04563791511446494,51,0.196,0.028026723154635808
Consolidation,3859,0.109,-0.02002400374654935,2539,0.113,-0.01621771713767882,939,0.129,0.0,1755,0.13,0.0010540400316758347,55,0.218,0.08932132829896408
Pneumonia,1864,0.306,0.0,1340,0.284,-0.021465633207353785,596,0.243,-0.06250540081228217,802,0.374,0.0682708464889279,28,0.571,0.26563458001226237
Atelectasis,4480,0.084,-0.014437550612108802,2999,0.098,0.0,1021,0.13,0.03189832458027962,2076,0.096,-0.002027008360526078,70,0.157,0.058776735102176916
Pneumothorax,892,0.377,0.05821027677015794,628,0.318,0.0,359,0.298,-0.020421198303851806,226,0.442,0.12400653852657689,29,0.207,-0.11157478585547989
Pleural Effusion,3771,0.134,-0.010151063648090486,2479,0.141,-0.00288183452868504,793,0.17,0.02617179985893517,1770,0.144,0.0,59,0.186,0.0423728813559322
Pleural Other,945,0.32,-0.06952833878903919,709,0.329,-0.0604731824842355,257,0.389,0.0,460,0.404,0.015242767721197759,15,0.467,0.07756160830090791
Fracture,2191,0.27,-0.01399557206819757,1475,0.282,-0.0021579311798175516,612,0.302,0.018095752214444094,1126,0.284,0.0,39,0.41,0.12606458077150795
Support Devices,4613,0.058,-0.001899709707683217,3630,0.06,0.0,1428,0.073,0.0130495173275922,1747,0.112,0.05184030553755277,107,0.019,-0.04108802554002214
No Finding,1022,0.232,0.06394622503718533,1167,0.168,0.0,640,0.12,-0.04763951371036847,350,0.331,0.16347655771820294,41,0.098,-0.07039103810061237
