diseases,#60-80,FNR_60-80,Gap_60-80,#40-60,FNR_40-60,Gap_40-60,#20-40,FNR_20-40,Gap_20-40,#80-,FNR_80-,Gap_80-,#0-20,FNR_0-20,Gap_0-20
Enlarged Cardiomediastinum,5131,0.079,-0.024044262921171775,3441,0.103,0.0,1194,0.131,0.0280668089064912,2600,0.066,-0.03643261127132094,79,0.177,0.07462873244825062
Cardiomegaly,4359,0.068,-0.023449084819462354,2857,0.091,0.0,938,0.117,0.02591622118419354,2294,0.056,-0.03512091472053986,68,0.103,0.011586608742201812
Lung Opacity,5407,0.07,-0.027915847120713905,3694,0.097,0.0,1353,0.133,0.0355823610409161,2535,0.065,-0.03197209825838372,87,0.138,0.04047570151037096
Lung Lesion,1104,0.423,-0.006479933110367875,780,0.429,0.0,429,0.41,-0.019230769230769218,371,0.458,0.02873384477158064,23,0.478,0.048773690078037946
Edema,3378,0.153,-0.023421446731445694,2166,0.182,0.005431535495084461,776,0.193,0.016828380836870827,1740,0.144,-0.03279242731575391,51,0.176,0.0
Consolidation,3859,0.13,-0.011433148455485959,2539,0.141,0.0,939,0.175,0.03365349325810227,1755,0.136,-0.004818057673512566,55,0.236,0.0953632425077876
Pneumonia,1864,0.31,0.0,1340,0.28,-0.029698609954519284,596,0.282,-0.02767016159230351,802,0.349,0.03957782582171182,28,0.393,0.08330778663396687
Atelectasis,4480,0.08,-0.028679202591339964,2999,0.109,0.0,1021,0.141,0.032001852396766936,2076,0.081,-0.028111489957153346,70,0.2,0.09096365455151718
Pneumothorax,892,0.429,-0.011710605238353655,628,0.441,0.0,359,0.507,0.06588098575306495,226,0.584,0.1429879939124063,29,0.379,-0.061772457720184526
Pleural Effusion,3771,0.12,-0.011100938148279005,2479,0.131,0.0,793,0.155,0.024409325852927516,1770,0.112,-0.018833455261484597,59,0.153,0.02184451084021033
Pleural Other,945,0.371,-0.08509316770186331,709,0.413,-0.04326362911633036,257,0.51,0.05320588732870918,460,0.457,0.0,15,0.533,0.07681159420289857
Fracture,2191,0.279,-0.033742915673922014,1475,0.29,-0.02244152090796886,612,0.376,0.06320598103065972,1126,0.313,0.0,39,0.615,0.30277360295122285
Support Devices,4613,0.087,-0.014390460783066661,3630,0.101,0.0,1428,0.104,0.0032398083200222277,1747,0.122,0.02082136870605414,107,0.028,-0.07306454519708555
No Finding,1022,0.238,0.0681032704661961,1167,0.17,0.0,640,0.12,-0.04935330976863754,350,0.377,0.20747704737421963,41,0.098,-0.07210483415888144
