diseases,#60-80,FNR_60-80,Gap_60-80,#40-60,FNR_40-60,Gap_40-60,#20-40,FNR_20-40,Gap_20-40,#80-,FNR_80-,Gap_80-,#0-20,FNR_0-20,Gap_0-20
Enlarged Cardiomediastinum,5131,0.091,-0.028040293454191262,3441,0.119,0.0,1194,0.137,0.018492637555694774,2600,0.078,-0.04116848858784343,79,0.127,0.007721482200861551
Cardiomegaly,4359,0.084,-0.018976964495364554,2857,0.105,0.0017140562910498564,938,0.12,0.017527906685062086,2294,0.075,-0.027527052669367655,68,0.103,0.0
Lung Opacity,5407,0.061,-0.0038718163940454145,3694,0.08,0.015311892305770111,1353,0.096,0.030994021613158576,2535,0.065,0.0,87,0.057,-0.007617493028633612
Lung Lesion,1104,0.388,0.0,780,0.385,-0.003065774804905219,429,0.345,-0.04269281443194489,371,0.412,0.02471776241259427,23,0.522,0.13405797101449274
Edema,3378,0.116,-0.021535797050820926,2166,0.138,0.0,776,0.171,0.03381095848683022,1740,0.099,-0.03815550673416754,51,0.216,0.07810548041931456
Consolidation,3859,0.106,-0.018213306979658395,2539,0.124,0.0,939,0.128,0.0033370789485936275,1755,0.132,0.00716548341597574,55,0.109,-0.015367539117046802
Pneumonia,1864,0.321,0.0,1340,0.293,-0.028068349240919888,596,0.255,-0.06631837428349224,802,0.424,0.10258821829546305,28,0.357,0.03579092581238502
Atelectasis,4480,0.097,-0.017052782475110745,2999,0.114,0.0,1021,0.132,0.018518742290525178,2076,0.107,-0.006286456436024587,70,0.186,0.07200971752488926
Pneumothorax,892,0.429,0.03661453714228613,628,0.39,-0.002630271632099057,359,0.393,0.0,226,0.588,0.19573791505410804,29,0.241,-0.15137834982230333
Pleural Effusion,3771,0.122,-0.0036084600969009395,2479,0.126,0.0,793,0.144,0.017900680978733347,1770,0.123,-0.00325833042756897,59,0.153,0.02668517239728979
Pleural Other,945,0.37,-0.038189940913676335,709,0.36,-0.04889881622057701,257,0.409,0.0,460,0.5,0.09143968871595332,15,0.467,0.05810635538261999
Fracture,2191,0.268,0.0,1475,0.266,-0.0019299290626522692,612,0.235,-0.03307648938169516,1126,0.345,0.07710008568883037,39,0.282,0.013680675022528066
Support Devices,4613,0.06,-0.00469060070384391,3630,0.065,0.0,1428,0.078,0.012992800425955506,1747,0.078,0.01368185681554053,107,0.0,-0.06473829201101929
No Finding,1022,0.271,0.08766100376129607,1167,0.183,0.0,640,0.15,-0.033376178234790055,350,0.403,0.2194809646223528,41,0.122,-0.06142495872259493
