diseases,#60-80,FNR_60-80,Gap_60-80,#40-60,FNR_40-60,Gap_40-60,#20-40,FNR_20-40,Gap_20-40,#80-,FNR_80-,Gap_80-,#0-20,FNR_0-20,Gap_0-20
Enlarged Cardiomediastinum,5131,0.076,-0.023866643943218344,3441,0.1,0.0,1194,0.11,0.01003491739429492,2600,0.068,-0.031988017794469414,79,0.114,0.014243725146134284
Cardiomegaly,4359,0.079,0.0,2857,0.1,0.021079019080570915,938,0.114,0.03469649099894295,2294,0.069,-0.01050067673072358,68,0.074,-0.00584659190586076
Lung Opacity,5407,0.066,-0.021869222645372666,3694,0.088,0.0,1353,0.105,0.017242158935346308,2535,0.068,-0.019465223738265258,87,0.103,0.015738476186920078
Lung Lesion,1104,0.401,-0.013826223680612537,780,0.428,0.013110788582486654,429,0.34,-0.07476799929630118,371,0.415,0.0,23,0.522,0.10664479081214107
Edema,3378,0.184,-0.012537874830216289,2166,0.226,0.030145021997718763,776,0.24,0.04361229027693553,1740,0.167,-0.02941176470588236,51,0.196,0.0
Consolidation,3859,0.113,-0.012792099123076231,2539,0.126,0.0,939,0.13,0.003891581006165379,1755,0.123,-0.003526749095870807,55,0.145,0.019420673851552134
Pneumonia,1864,0.281,0.0,1340,0.26,-0.02141438729101275,596,0.237,-0.044538698620272515,802,0.334,0.05304870870035211,28,0.429,0.14745554874310235
Atelectasis,4480,0.084,-0.020883225956271137,2999,0.105,0.0,1021,0.124,0.019352843373517573,2076,0.096,-0.009177593558803487,70,0.171,0.06639355975801457
Pneumothorax,892,0.392,0.00519005208788742,628,0.382,-0.005021024430920951,359,0.387,0.0,226,0.447,0.05971602534079423,29,0.276,-0.11132456056094514
Pleural Effusion,3771,0.102,-0.006379641240690542,2479,0.106,-0.0023834104785281085,793,0.117,0.008801590185307892,1770,0.108,0.0,59,0.119,0.010169491525423735
Pleural Other,945,0.348,-0.06819426430321374,709,0.367,-0.049628731210177135,257,0.416,0.0,460,0.443,0.027135848418203323,15,0.467,0.05032425421530479
Fracture,2191,0.224,-0.0263454646126208,1475,0.247,-0.002986422614926071,612,0.263,0.01262784569126646,1126,0.25,0.0,39,0.359,0.10853030924078882
Support Devices,4613,0.06,0.0,3630,0.058,-0.0023545268820479165,1428,0.064,0.003244241550945111,1747,0.106,0.0454145727629949,107,0.019,-0.04178965986008659
No Finding,1022,0.262,0.09256510999652878,1167,0.17,0.0,640,0.144,-0.025915809768637554,350,0.394,0.22461990451707675,41,0.122,-0.047714590256442424
